energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.8625100963392933,2.8625100963392933,2.870720413414897,0.0,0.0,0.0,2.865246868697828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9540999999999995
0.0197,2.8625149877437215,2.8625149877437215,2.870725282303002,0.0,0.0,0.0,2.8652517525968153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0395,2.8625297616268996,2.8625297616268996,2.87073998817209,0.0,0.0,0.0,2.86526650380863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0592,2.8625542694317145,2.8625542694317145,2.870764383130195,0.0,0.0,0.0,2.8652909739978747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0789,2.862588562062457,2.862588562062457,2.870798517816101,0.0,0.0,0.0,2.8653252139803382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0987,2.8626328898045115,2.8626328898045115,2.8708426413180987,0.0,0.0,0.0,2.865369473642374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1184,2.862686806925856,2.862686806925856,2.8708963099015135,0.0,0.0,0.0,2.8654233079177422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1381,2.8627505149269457,2.8627505149269457,2.8709597240698774,0.0,0.0,0.0,2.8654869179745894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1579,2.8628244148132262,2.8628244148132262,2.871033282896139,0.0,0.0,0.0,2.865560704174197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1776,2.8629077634956817,2.8629077634956817,2.871116246626573,0.0,0.0,0.0,2.8656439245393117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1973,2.8630009131561414,2.8630009131561414,2.871208965711815,0.0,0.0,0.0,2.8657369306746996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2171,2.8631044156882304,2.8631044156882304,2.8713119893718506,0.0,0.0,0.0,2.8658402735827706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2368,2.8632172303421175,2.8632172303421175,2.871424281539834,0.0,0.0,0.0,2.8659529140746898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2565,2.863339860129668,2.863339860129668,2.8715463427570835,0.0,0.0,0.0,2.8660753543388062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2763,2.8634730080643687,2.8634730080643687,2.87167887261453,0.0,0.0,0.0,2.8662082962477555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.296,2.8636153353097926,2.8636153353097926,2.8718205383199975,0.0,0.0,0.0,2.866350402979861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3158,2.8637682934051587,2.8637682934051587,2.871972784481056,0.0,0.0,0.0,2.8665031237637915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3355,2.8639303443243374,2.8639303443243374,2.872134080033584,0.0,0.0,0.0,2.866664922894086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3552,2.864102243051029,2.864102243051029,2.872305176240927,0.0,0.0,0.0,2.8668365541143284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.375,2.8642849452395143,2.8642849452395143,2.8724870240629032,0.0,0.0,0.0,2.867018971513977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3947,2.8644766137942232,2.8644766137942232,2.8726777947586735,0.0,0.0,0.0,2.8672103407823735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4144,2.8646781552372262,2.8646781552372262,2.872878390366458,0.0,0.0,0.0,2.86741156694697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4342,2.864890677274695,2.864890677274695,2.873089913117417,0.0,0.0,0.0,2.8676237558889355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4539,2.8651120429871897,2.8651120429871897,2.873310235863924,0.0,0.0,0.0,2.8678447739461013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4736,2.8653433108186577,2.8653433108186577,2.873540411789363,0.0,0.0,0.0,2.8680756778088927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4934,2.865585740995627,2.865585740995627,2.873781694848769,0.0,0.0,0.0,2.868317725613341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5131,2.865836895895632,2.865836895895632,2.8740316586368406,0.0,0.0,0.0,2.8685684834760345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5328,2.8660979863330134,2.8660979863330134,2.874291507915386,0.0,0.0,0.0,2.8688291601938043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5526,2.866370425588981,2.866370425588981,2.8745626488791594,0.0,0.0,0.0,2.869101166685707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5723,2.8666514743329587,2.8666514743329587,2.874842354892766,0.0,0.0,0.0,2.8693817678528943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.592,2.8669424962638788,2.8669424962638788,2.8751319827928508,0.0,0.0,0.0,2.8696723251068694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6118,2.867245058318476,2.867245058318476,2.875433091593997,0.0,0.0,0.0,2.8699744027436496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6315,2.86755611832578,2.86755611832578,2.875742653335392,0.0,0.0,0.0,2.870284963328984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6512,2.867877193449867,2.867877193449867,2.876062177488894,0.0,0.0,0.0,2.870605521462876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.671,2.8682100049512083,2.8682100049512083,2.876393376533917,0.0,0.0,0.0,2.8709377954787776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
