energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.1490127608360567,3.1490127608360567,3.1582061792513114,0.0,0.0,0.0,3.152077233641142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.058400000000001
0.0197,3.1490198391061393,3.1490198391061393,3.1582134545135214,0.0,0.0,0.0,3.152084377575267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0394,3.1490410743313983,3.1490410743313983,3.1582352807423204,0.0,0.0,0.0,3.152105809801706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0591,3.14907646775699,3.14907646775699,3.1582716592642024,0.0,0.0,0.0,3.1521415315927275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0787,3.1491257341548633,3.1491257341548633,3.1583222969893603,0.0,0.0,0.0,3.1521912550996958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0984,3.1491893791351946,3.1491893791351946,3.1583877137100496,0.0,0.0,0.0,3.152255490660146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1181,3.1492671910138372,3.1492671910138372,3.1584676919903534,0.0,0.0,0.0,3.152334024672676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1378,3.1493591743559084,3.1493591743559084,3.1585622366937907,0.0,0.0,0.0,3.152426861801869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1575,3.1494653345591237,3.1494653345591237,3.1586713535710436,0.0,0.0,0.0,3.1525340075630965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1772,3.1495856778549145,3.1495856778549145,3.158795049261086,0.0,0.0,0.0,3.1526554683236383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1968,3.14971949255277,3.14971949255277,3.158932592506049,0.0,0.0,0.0,3.1527905258705293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2165,3.1498681519754492,3.1498681519754492,3.1590853951898348,0.0,0.0,0.0,3.1529405663802446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2362,3.15003101815212,3.15003101815212,3.1592528018960864,0.0,0.0,0.0,3.1531049460667755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2559,3.1502081006570837,3.1502081006570837,3.159434822825909,0.0,0.0,0.0,3.1532836747133586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2756,3.150399409905278,3.150399409905278,3.159631469076393,0.0,0.0,0.0,3.1534767629623164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2953,3.150604957154151,3.150604957154151,3.159842752642561,0.0,0.0,0.0,3.1536842223169543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3149,3.1508236027774927,3.1508236027774927,3.160067502530279,0.0,0.0,0.0,3.153904902695088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
