energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.5056818009000836,3.5056818009000836,3.7322752189894213,0.0,0.0,0.0,3.581212940263196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.000400000000001
0.0196,3.5056919658968355,3.5056919658968355,3.7322877398659964,0.0,0.0,0.0,3.5812238905532223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0393,3.5057226693859893,3.5057226693859893,3.732325559402455,0.0,0.0,0.0,3.581256966058145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0589,3.5057736019992554,3.5057736019992554,3.732388296783682,0.0,0.0,0.0,3.5813118335940644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0786,3.505845287389518,3.505845287389518,3.7324765974580307,0.0,0.0,0.0,3.5813890574123555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0982,3.505937003256462,3.505937003256462,3.732589572304262,0.0,0.0,0.0,3.5814878596057285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1178,3.506049068607159,3.506049068607159,3.732727615028915,0.0,0.0,0.0,3.581608584081078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1375,3.506182219849372,3.506182219849372,3.7328916336922813,0.0,0.0,0.0,3.5817520244636754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1571,3.5063351153623032,3.5063351153623032,3.733079976761099,0.0,0.0,0.0,3.581916735828569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1768,3.5065093271245282,3.5065093271245282,3.733294581948733,0.0,0.0,0.0,3.5821044120659296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1964,3.5067030998035134,3.5067030998035134,3.733533288371675,0.0,0.0,0.0,3.5823131626595672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2161,3.5069184256654498,3.5069184256654498,3.7337985519106347,0.0,0.0,0.0,3.582545134413845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2357,3.5071531351347325,3.5071531351347325,3.734087701620259,0.0,0.0,0.0,3.582797990629908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2553,3.5074082871436083,3.5074082871436083,3.734402043957822,0.0,0.0,0.0,3.583072872748346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.275,3.507685359948648,3.507685359948648,3.7347434023145265,0.0,0.0,0.0,3.5833713740706075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2946,3.507981561866316,3.507981561866316,3.735108339599807,0.0,0.0,0.0,3.5836904877774796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3143,3.5082999383581988,3.5082999383581988,3.735500610494078,0.0,0.0,0.0,3.584033495736825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3339,3.508637281617669,3.508637281617669,3.7359162653269262,0.0,0.0,0.0,3.584396942854088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3535,3.508995181379428,3.508995181379428,3.7363572655981985,0.0,0.0,0.0,3.584782542785685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
