energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.721561776243986,2.721561776243986,2.8267665415233507,0.0,0.0,0.0,2.756630031337108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1865000000000006
0.0194,2.7215662351883956,2.7215662351883956,2.8267718646762,0.0,0.0,0.0,2.7566347783509975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0389,2.721579704299364,2.721579704299364,2.826787944340259,0.0,0.0,0.0,2.756649117646329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0583,2.7216020460948687,2.7216020460948687,2.8268146165154806,0.0,0.0,0.0,2.756672902901739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0778,2.721633492015304,2.721633492015304,2.8268521577166377,0.0,0.0,0.0,2.756706380582415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0972,2.7216737210859607,2.7216737210859607,2.8269001850531614,0.0,0.0,0.0,2.756749209075027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1167,2.7217231500434305,2.7217231500434305,2.826959196433084,0.0,0.0,0.0,2.756801832173315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1361,2.7217812743573795,2.7217812743573795,2.8270285899883385,0.0,0.0,0.0,2.756863712901032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1556,2.7218486961440687,2.7218486961440687,2.82710908513634,0.0,0.0,0.0,2.7569354924748257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.175,2.7219247272187057,2.7219247272187057,2.827199860894635,0.0,0.0,0.0,2.7570164384440154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1944,2.7220096940682534,2.7220096940682534,2.8273013077812177,0.0,0.0,0.0,2.7571068986392415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2139,2.722104108107283,2.722104108107283,2.8274140372423453,0.0,0.0,0.0,2.7572074178189703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2333,2.7222070056414753,2.7222070056414753,2.8275368995404464,0.0,0.0,0.0,2.757316970274466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2528,2.722319452606596,2.722319452606596,2.827671168428454,0.0,0.0,0.0,2.7574366912138815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2722,2.722440301249093,2.722440301249093,2.8278154744940753,0.0,0.0,0.0,2.7575653589974203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2917,2.7225708034694422,2.7225708034694422,2.8279713138138245,0.0,0.0,0.0,2.7577043069175695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3111,2.7227096272294506,2.7227096272294506,2.82813709698849,0.0,0.0,0.0,2.7578521171491306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3306,2.722858210645727,2.722858210645727,2.8283145427682497,0.0,0.0,0.0,2.7580103213532348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.35,2.723015037133589,2.723015037133589,2.828501841404261,0.0,0.0,0.0,2.7581773052238128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3694,2.72318085328982,2.72318085328982,2.828699886016472,0.0,0.0,0.0,2.7583538641987038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3889,2.7233565917602656,2.7233565917602656,2.8289097922126287,0.0,0.0,0.0,2.7585409919110533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4083,2.723540458807365,2.723540458807365,2.829129419212384,0.0,0.0,0.0,2.758736778942371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4278,2.723734359195645,2.723734359195645,2.8293610440399237,0.0,0.0,0.0,2.758943254143738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4472,2.7239363138262567,2.7239363138262567,2.829602304436016,0.0,0.0,0.0,2.759158310696176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4667,2.7241484148578774,2.7241484148578774,2.8298557017396937,0.0,0.0,0.0,2.759384177151816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4861,2.7243684974394737,2.7243684974394737,2.8301186516708756,0.0,0.0,0.0,2.759618548849941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5056,2.7245988415466593,2.7245988415466593,2.830393880473022,0.0,0.0,0.0,2.7598638545221132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.525,2.724837096148026,2.724837096148026,2.830678581251113,0.0,0.0,0.0,2.760117591182388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5444,2.7250844310310676,2.7250844310310676,2.830974154031386,0.0,0.0,0.0,2.7603810053645073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5639,2.7253422039181068,2.7253422039181068,2.831282223954065,0.0,0.0,0.0,2.7606555439300933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5833,2.7256077838621726,2.7256077838621726,2.8315996492605997,0.0,0.0,0.0,2.760938405661648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6028,2.725883922243195,2.725883922243195,2.8319297211012473,0.0,0.0,0.0,2.7612325218625458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6222,2.726167800698418,2.726167800698418,2.832269073387399,0.0,0.0,0.0,2.7615348915947453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6417,2.726462360211496,2.726462360211496,2.832621224667835,0.0,0.0,0.0,2.761848648363609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6611,2.7267645944423977,2.7267645944423977,2.8329825837437896,0.0,0.0,0.0,2.7621705908761953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6806,2.72707763457852,2.72707763457852,2.8333568974010213,0.0,0.0,0.0,2.762504055519354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7,2.7273982857023196,2.7273982857023196,2.833740348496081,0.0,0.0,0.0,2.7628456399669066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7195,2.7277298698452954,2.7277298698452954,2.8341369129471508,0.0,0.0,0.0,2.76319888421258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7389,2.728069002872865,2.728069002872865,2.8345425467765875,0.0,0.0,0.0,2.7635601841741058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7583,2.728417378616052,2.728417378616052,2.834959279089364,0.0,0.0,0.0,2.7639313454404895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7778,2.7287768822215757,2.7287768822215757,2.8353893688247975,0.0,0.0,0.0,2.764314377755983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7972,2.7291438446883713,2.7291438446883713,2.835828430257846,0.0,0.0,0.0,2.76470537321153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8167,2.729522067981022,2.729522067981022,2.836281016137825,0.0,0.0,0.0,2.7651083840332897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8361,2.729907692109249,2.729907692109249,2.8367425114374205,0.0,0.0,0.0,2.765519298551973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8556,2.7303047124468245,2.7303047124468245,2.837217701630833,0.0,0.0,0.0,2.7659423755081605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.875,2.730709077233911,2.730709077233911,2.83770174130061,0.0,0.0,0.0,2.766373298589477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8945,2.7311249760815555,2.7311249760815555,2.838199649807408,0.0,0.0,0.0,2.766816533990173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9139,2.7315481646387187,2.7315481646387187,2.8387063501971888,0.0,0.0,0.0,2.7672675598248753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9333,2.7319807732418147,2.7319807732418147,2.8392243971470696,0.0,0.0,0.0,2.767728647876899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9528,2.732425127234489,2.732425127234489,2.8397565803402474,0.0,0.0,0.0,2.7682022782697415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9722,2.732876691996416,2.732876691996416,2.840297473538991,0.0,0.0,0.0,2.768683619177274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9917,2.7333401463861664,2.7333401463861664,2.840852686003031,0.0,0.0,0.0,2.769177659591788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0111,2.7338107609547606,2.7338107609547606,2.841416556831824,0.0,0.0,0.0,2.7696793595804485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0306,2.7342934120391105,2.7342934120391105,2.8419949337270562,0.0,0.0,0.0,2.7701939192684257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.05,2.734783174390686,2.734783174390686,2.842581919766806,0.0,0.0,0.0,2.770716089516059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0695,2.735285122852173,2.735285122852173,2.8431836025417168,0.0,0.0,0.0,2.7712512827486875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0889,2.735794135360513,2.735794135360513,2.8437938476870217,0.0,0.0,0.0,2.771794039469349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1083,2.7363127878512143,2.7363127878512143,2.844415748262495,0.0,0.0,0.0,2.772347107988308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1278,2.73684385584668,2.73684385584668,2.8450526387752104,0.0,0.0,0.0,2.77291345015619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1472,2.737381920316589,2.737381920316589,2.845698026199135,0.0,0.0,0.0,2.773487288944104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1667,2.7379325569087594,2.7379325569087594,2.8463586043041076,0.0,0.0,0.0,2.774074572707209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1861,2.7384901470448195,2.7384901470448195,2.8470276387861797,0.0,0.0,0.0,2.7746693109586062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2056,2.7390604688419753,2.7390604688419753,2.847712068899892,0.0,0.0,0.0,2.7752776688612806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.225,2.7396377029988033,2.7396377029988033,2.84840491741198,0.0,0.0,0.0,2.7758934411365286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2445,2.7402278313436907,2.7402278313436907,2.849113370819162,0.0,0.0,0.0,2.776523011168848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2639,2.740824832629545,2.740824832629545,2.8498302072387918,0.0,0.0,0.0,2.777159957499294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2833,2.741431739583871,2.741431739583871,2.8505590739504374,0.0,0.0,0.0,2.77780751770606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.3028,2.742051790054755,2.742051790054755,2.8513038675010796,0.0,0.0,0.0,2.7784691492035294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
