energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,4.158297882916726,4.158297882916726,4.70104781393516,0.0,0.0,0.0,4.339214526589537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2629
0.0195,4.158318498678478,4.158318498678478,4.701073745781507,0.0,0.0,0.0,4.339236914379487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.039,4.158380348664574,4.158380348664574,4.701151544778838,0.0,0.0,0.0,4.339304080702662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0585,4.158483440978489,4.158483440978489,4.70128122130347,0.0,0.0,0.0,4.339416034420149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.078,4.1586277891298025,4.1586277891298025,4.701462792653953,0.0,0.0,0.0,4.339572790304519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0975,4.158813412039644,4.158813412039644,4.701696283058078,0.0,0.0,0.0,4.339774369045789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.117,4.159040334048514,4.159040334048514,4.701981723682756,0.0,0.0,0.0,4.340020797259928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1365,4.159308584926263,4.159308584926263,4.702319152646659,0.0,0.0,0.0,4.340312107499728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.156,4.15961819988436,4.15961819988436,4.702708615035905,0.0,0.0,0.0,4.340648338268209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1756,4.159971126479011,4.159971126479011,4.703152561606475,0.0,0.0,0.0,4.341031604854833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1951,4.1603638097703985,4.1603638097703985,4.703646521640822,0.0,0.0,0.0,4.34145804706054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2146,4.16079799586144,4.16079799586144,4.704192692717802,0.0,0.0,0.0,4.341929561480227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2341,4.16127374192607,4.16127374192607,4.704791148041608,0.0,0.0,0.0,4.342446210631249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2536,4.161791110675207,4.161791110675207,4.705441967904614,0.0,0.0,0.0,4.343008063085009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2731,4.162350170382835,4.162350170382835,4.706145239720454,0.0,0.0,0.0,4.343615193495375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2926,4.162950994914248,4.162950994914248,4.706901058059909,0.0,0.0,0.0,4.344267682629469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3121,4.16359366375694,4.16359366375694,4.7077095246898075,0.0,0.0,0.0,4.344965617401229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3316,4.164278262053611,4.164278262053611,4.708570748615035,0.0,0.0,0.0,4.345709090907419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3511,4.165004880637897,4.165004880637897,4.709484846123823,0.0,0.0,0.0,4.346498202466539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3706,4.1657736160722845,4.1657736160722845,4.710451940835601,0.0,0.0,0.0,4.347333057660056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3901,4.166584570688798,4.166584570688798,4.711472163752585,0.0,0.0,0.0,4.348213768376727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
