energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.2422253646936405,3.2422253646936405,3.1699769280298926,0.0,0.0,0.0,3.2181425524723912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.362699999999999
0.0194,3.242234709796803,3.242234709796803,3.1699858815939073,0.0,0.0,0.0,3.2181517670625044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0389,3.2422629387906556,3.2422629387906556,3.170012927854886,0.0,0.0,0.0,3.2181796018120656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0583,3.242309764394337,3.242309764394337,3.170057791566954,0.0,0.0,0.0,3.2182257734518758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0778,3.242375673119074,3.242375673119074,3.1701209388551783,0.0,0.0,0.0,3.218290761697775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0972,3.2424599942261727,3.2424599942261727,3.1702017270800424,0.0,0.0,0.0,3.218373905177463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1167,3.2425636038022936,3.2425636038022936,3.1703009956176516,0.0,0.0,0.0,3.2184760677407467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1361,3.2426854474393876,3.2426854474393876,3.1704177342322732,0.0,0.0,0.0,3.218596209703683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1556,3.2428267910846222,3.2428267910846222,3.1705531558239617,0.0,0.0,0.0,3.2187355793310686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.175,3.242986196327801,3.242986196327801,3.1707058822421814,0.0,0.0,0.0,3.2188927582992606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1944,3.2431643524582356,3.2431643524582356,3.1708765738880484,0.0,0.0,0.0,3.2190684262681732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2139,3.243362337401348,3.243362337401348,3.1710662635140716,0.0,0.0,0.0,3.2192636461055897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2333,3.2435781363488236,3.2435781363488236,3.1712730207195894,0.0,0.0,0.0,3.219476431139079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
