energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,6.535118693553641,6.535118693553641,6.419267373174075,0.0,0.0,0.0,6.496501586760452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7557999999999998
0.017,6.535211333012083,6.535211333012083,6.419340972845113,0.0,0.0,0.0,6.4965878796230925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.034,6.535489281786279,6.535489281786279,6.419561789145492,0.0,0.0,0.0,6.49684678423935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.051,6.535952631106397,6.535952631106397,6.4199298739497666,0.0,0.0,0.0,6.4972783787208535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.068,6.5366015331341885,6.5366015331341885,6.420445313756787,0.0,0.0,0.0,6.497882793341721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.085,6.537436201130865,6.537436201130865,6.42110822975221,0.0,0.0,0.0,6.498660210671313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.102,6.538456909692188,6.538456909692188,6.421918777895629,0.0,0.0,0.0,6.499610865760002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1191,6.539671647703162,6.539671647703162,6.422883224271091,0.0,0.0,0.0,6.500742173225805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1361,6.541066608085222,6.541066608085222,6.423990515886917,0.0,0.0,0.0,6.502041244019121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1531,6.542648807105155,6.542648807105155,6.425246119065972,0.0,0.0,0.0,6.503514577758761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1701,6.544418768800399,6.544418768800399,6.426650330452514,0.0,0.0,0.0,6.505162622684438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1871,6.5463770807652395,6.5463770807652395,6.428203482284598,0.0,0.0,0.0,6.506985881271692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2041,6.5485243948111345,6.5485243948111345,6.429905942636379,0.0,0.0,0.0,6.508984910752883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
