energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,5.161280246130427,5.256831968985477,5.1320592565803125,0.0,0.0,0.05597079774401209,5.183390490565405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0055000000000005
0.0191,5.161357754971618,5.25695215327112,5.132165056183947,0.0,0.0,0.05595791589470736,5.183491654808895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0383,5.161591943195533,5.257315302757174,5.132484739005783,0.0,0.0,0.05591898649404693,5.183797328319496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0574,5.1619804797936,5.2579178625346,5.133015170173552,0.0,0.0,0.05585437411058393,5.18430450416725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0766,5.162527615469939,5.258766525189456,5.133762231965972,0.0,0.0,0.05576333333630488,5.185018790875122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0957,5.163227904695489,5.259852984051303,5.1347185993945095,0.0,0.0,0.05564671659585083,5.185933162713767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1148,5.164084115848997,5.261181712479808,5.135888193899122,0.0,0.0,0.05550399442297417,5.187051340742642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.134,5.1651023610127735,5.262762420285392,5.137279541916722,0.0,0.0,0.05533406176884886,5.18838144107163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1531,5.166272508174539,5.264579641061071,5.138879005932752,0.0,0.0,0.055138508833874215,5.189910385056121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1723,5.167607363692837,5.266653569196819,5.140704332598404,0.0,0.0,0.05491507785543281,5.19165508849602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1914,5.169093648269536,5.268963919632848,5.1427376369567535,0.0,0.0,0.0546658584747417,5.193598401619712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2105,5.170738600976016,5.2715223257393315,5.144989122880301,0.0,0.0,0.05438949069856072,5.195750016531883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2297,5.172552866301756,5.274345788940111,5.147473711891403,0.0,0.0,0.05408401488200252,5.198124122377757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2488,5.174518404322467,5.277406712908147,5.150167076650403,0.0,0.0,0.05375228472237795,5.200697397960339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2679,5.176645181063714,5.280721125816685,5.153083274955397,0.0,0.0,0.05339242301589385,5.203483193945265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2871,5.178946625810607,5.284310547656755,5.156241188189302,0.0,0.0,0.05300193017958242,5.206499453885555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3062,5.181399868830286,5.288139929099496,5.159609925179615,0.0,0.0,0.052584448624535346,5.209716574369799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3254,5.184031795453035,5.2922519099984875,5.163226936544044,0.0,0.0,0.05213514431790663,5.213170213998522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3445,5.186816265217957,5.296606369366309,5.16705686687525,0.0,0.0,0.05165820315137555,5.216826500486505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3636,5.189767912598318,5.30122693227237,5.1711204300634,0.0,0.0,0.05115083417449769,5.220705091644696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3828,5.1929049692313995,5.306143003642371,5.175443410099683,0.0,0.0,0.05060957083093214,5.224830460991151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4019,5.196196305823441,5.311306682473998,5.179983607574339,0.0,0.0,0.05003944488797114,5.229162198623926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4211,5.199678042347761,5.316775582262473,5.184791596901693,0.0,0.0,0.04943383553551409,5.233748407170642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4402,5.203315653484403,5.322496471986476,5.189820493109872,0.0,0.0,0.04879836333832465,5.238544206193583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4593,5.207128658195338,5.328501054264876,5.1950980772493915,0.0,0.0,0.04812923131595529,5.243575929903201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4785,5.211140358476537,5.334827214786694,5.200657545503454,0.0,0.0,0.04742189163185309,5.248875039588895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4976,5.21531102203854,5.341413491290335,5.2064447823996005,0.0,0.0,0.046682890189653305,5.254389765242824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5168,5.219686503497885,5.348333568275015,5.212524424947695,0.0,0.0,0.04590361186362151,5.2601814989068645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5359,5.224223507640065,5.355520307023405,5.21883737541273,0.0,0.0,0.045091252628631485,5.2661937300254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.555,5.228946737628043,5.36301416090477,5.225419057697821,0.0,0.0,0.0442408788537657,5.272459985410212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5742,5.233884925822921,5.370862306128236,5.2323107726371365,0.0,0.0,0.04334670406793429,5.279019334862765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5933,5.238989285733107,5.378988780280656,5.239445684673814,0.0,0.0,0.0424169548795158,5.285807916895859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6125,5.244316071476678,5.387484814601182,5.246903755719092,0.0,0.0,0.041440739181331544,5.292901547265651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6316,5.249812719657986,5.396268322464675,5.254612784601196,0.0,0.0,0.04042701363700631,5.300231275574618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6507,5.255509517419462,5.405389417047316,5.262616615400986,0.0,0.0,0.039369529221796914,5.3078385166225885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6699,5.261441099360597,5.414905641305557,5.270965573840094,0.0,0.0,0.03826104854339659,5.315770771502083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.689,5.267549050849177,5.424725328255339,5.279579073214493,0.0,0.0,0.03711169481335598,5.323951150773003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7081,5.273867250246952,5.43490494205738,5.288506484318947,0.0,0.0,0.03591431905828173,5.332426225541092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7273,5.2804341554858745,5.445508898267832,5.297804105716424,0.0,0.0,0.03466068265044317,5.34124905315671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7464,5.287185243485988,5.4564354047103,5.307382498929554,0.0,0.0,0.033362174115217254,5.35033438237528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7656,5.2941953025787365,5.467808047851374,5.317349806420272,0.0,0.0,0.032003422403520485,5.359784385616794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7847,5.301395573675955,5.479517938373379,5.327610391528767,0.0,0.0,0.030596722560030175,5.369507967859367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8038,5.308826429814484,5.4916333137562665,5.338223852404367,0.0,0.0,0.02913318561644772,5.379561198658372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.823,5.316533294346,5.504231435101477,5.349257631929045,0.0,0.0,0.02760262169927097,5.390007453792173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8421,5.324440791542057,5.517192202180198,5.360606312890089,0.0,0.0,0.026018789969576274,5.400746435537447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8613,5.332636898532618,5.530663118992468,5.3723988108748015,0.0,0.0,0.024362783522624217,5.411899609466629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8804,5.341041627802856,5.544516180954309,5.384522820115318,0.0,0.0,0.022649416777740846,5.423360209624161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8995,5.349702646360899,5.558833296441504,5.3970497888108895,0.0,0.0,0.020867670639918096,5.435195243871097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9187,5.358673272779238,5.573706792181874,5.410060202605304,0.0,0.0,0.019004944991679606,5.447480089188805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9378,5.367866279302353,5.588996105505622,5.423430823293104,0.0,0.0,0.017077768204572456,5.460097736033693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.957,5.377384496998195,5.604876578272724,5.437314692191524,0.0,0.0,0.015062898126411059,5.473191922487481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9761,5.3871356263845875,5.621198744212333,5.451580828378054,0.0,0.0,0.012978104872335264,5.486638399658325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9952,5.397175677285721,5.638060723516896,5.466314703473808,0.0,0.0,0.010809706288824241,5.500517034758808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0144,5.407567084452782,5.655572885098778,5.481612391910781,0.0,0.0,0.008542063982683642,5.5149174538207815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0335,5.418209546503944,5.673571540359773,5.497330558158953,0.0,0.0,0.006194974565433156,5.529703881674223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0526,5.429164718897807,5.6921661165534685,5.513564439770526,0.0,0.0,0.0037528206036169195,5.5449650917406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0718,5.440501252877243,5.711479663705683,5.530421052429528,0.0,0.0,0.0011977419972720466,5.560800656337484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0909,5.452110311043438,5.7313330935600915,5.547743700476184,0.0,0.0,-0.0014482149712507515,5.577062368359904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4207.702088291256,0.0,
1.1101,5.46412326796624,5.751957834322997,5.565733902926838,0.0,0.0,-0.004217645282093593,5.593938335072025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7307.0260174531395,0.0,
1.1292,5.476425261320785,5.773163792488719,5.584225426541245,0.0,0.0,-0.007086862429333483,5.61127149345025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9634.77098288443,0.0,
1.1483,5.4890887468333025,5.79508273878673,5.603332780604278,0.0,0.0,-0.010075469709519544,5.629168088741437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11682.385712404439,0.0,
1.1675,5.502194365263078,5.817862982552001,5.623184747505593,0.0,0.0,-0.013205931883244693,5.647747365106891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13598.310109336822,0.0,
1.1866,5.515617678674188,5.84129672026665,5.643599762193627,0.0,0.0,-0.016451871214406884,5.666838053711488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15426.077892889043,0.0,
1.2058,5.529512103356808,5.86566086710994,5.664818572413261,0.0,0.0,-0.019853968988542865,5.6866638476266695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17220.369839488747,0.0,
1.2249,5.543746414874099,5.890734914434712,5.686648625731976,0.0,0.0,-0.02338388104845431,5.707043318346929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18984.643953132334,0.0,
