energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.3191838882583804,3.3191838882583804,2.953321923927335,0.0,0.0,0.0,3.197229900148032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0812
0.0196,3.3191923902491283,3.3191923902491283,2.9533280755595976,0.0,0.0,0.0,3.1972376186859512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0391,3.3192177234664584,3.3192177234664584,2.9533464054124634,0.0,0.0,0.0,3.1972606174484604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0587,3.3192601493491853,3.3192601493491853,2.953377102509023,0.0,0.0,0.0,3.197299133735798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0782,3.3193192376463685,3.3193192376463685,2.9534198553092597,0.0,0.0,0.0,3.197352776867332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0978,3.319395598150141,3.319395598150141,2.953475104693643,0.0,0.0,0.0,3.1974221003313086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1174,3.3194889760897355,3.3194889760897355,2.953542665899211,0.0,0.0,0.0,3.197506872692894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1369,3.319598770912783,3.319598770912783,2.95362210390221,0.0,0.0,0.0,3.197606548575925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1565,3.3197261157079048,3.3197261157079048,2.953714237895073,0.0,0.0,0.0,3.1977221564369613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1761,3.319870498957329,3.319870498957329,2.9538186970750795,0.0,0.0,0.0,3.1978532316632458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1956,3.3200310629371663,3.3200310629371663,2.953934860108462,0.0,0.0,0.0,3.1979989953275982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2152,3.320209464686588,3.320209464686588,2.9540639249148626,0.0,0.0,0.0,3.198160951429346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2347,3.3204038950148984,3.3204038950148984,2.954204581649675,0.0,0.0,0.0,3.1983374572264904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2543,3.3206163604766634,3.3206163604766634,2.9543582808274866,0.0,0.0,0.0,3.198530333926938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2739,3.320845921089588,3.320845921089588,2.954524341238562,0.0,0.0,0.0,3.1987387278059125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2934,3.321091289520245,3.321091289520245,2.9547018304134207,0.0,0.0,0.0,3.19896146981797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.313,3.321354998038366,3.321354998038366,2.95489257871367,0.0,0.0,0.0,3.1992008582634672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3326,3.3216358488421562,3.3216358488421562,2.9550957182046886,0.0,0.0,0.0,3.1994558052963336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3521,3.3219322958267625,3.3219322958267625,2.9553101290865875,0.0,0.0,0.0,3.199724906913371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
