energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.5067117248883455,2.502538344095634,2.2915488537767743,0.0,0.0,0.0,2.433599640920251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3696
0.0198,2.506714698566218,2.5025412827341507,2.2915513151243916,0.0,0.0,0.0,2.4336024321415866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0395,2.5067235596975883,2.5025500394529647,2.2915586495845055,0.0,0.0,0.0,2.433610749578353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0593,2.5067383985334812,2.502564703438708,2.291570931856013,0.0,0.0,0.0,2.4336246779427344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0791,2.506759185598267,2.502585245561501,2.291588137536791,0.0,0.0,0.0,2.4336441895655194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0988,2.506785771594279,2.502611518280708,2.291610143044833,0.0,0.0,0.0,2.4336691443066063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1186,2.5068184273012717,2.502643789182508,2.2916371724987235,0.0,0.0,0.0,2.433699796327501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1384,2.5068570338573695,2.5026819408021392,2.29166912750457,0.0,0.0,0.0,2.433736034054693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1582,2.5069015925268703,2.5027259743849015,2.2917060090962504,0.0,0.0,0.0,2.4337778586693406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1779,2.506951834695866,2.50277562447761,2.2917475949255963,0.0,0.0,0.0,2.433825018033024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1977,2.507008272084429,2.502831396764668,2.2917943085308545,0.0,0.0,0.0,2.433877992459984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2175,2.5070706665409572,2.502893055894898,2.291845952773631,0.0,0.0,0.0,2.433936558403162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
