energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.6152025874751117,2.6152025874751117,3.7293874895016708,0.0,0.0,0.0,2.986597554817298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7075000000000005
0.018,2.615207904891782,2.615207904891782,3.7294007035175745,0.0,0.0,0.0,2.986605504433713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.036,2.6152238574680196,2.6152238574680196,3.7294403465954145,0.0,0.0,0.0,2.9866293538438176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.054,2.615250446182527,2.615250446182527,3.729506421825815,0.0,0.0,0.0,2.9866691047302893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.072,2.61528767266676,2.61528767266676,3.7295989343605798,0.0,0.0,0.0,2.986724759898033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.09,2.6153355392051574,2.6153355392051574,3.7297178914138547,0.0,0.0,0.0,2.986796323274723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.108,2.615394048735571,2.615394048735571,3.7298633022637397,0.0,0.0,0.0,2.9868837999116273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.126,2.6154632048498803,2.6154632048498803,3.730035178254355,0.0,0.0,0.0,2.986987195984705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.144,2.6155430117946166,2.6155430117946166,3.730233532798386,0.0,0.0,0.0,2.9871065187958727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.162,2.6156334744718297,2.6156334744718297,3.7304583813800694,0.0,0.0,0.0,2.9872417767745763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.18,2.61573459843993,2.61573459843993,3.73070974155873,0.0,0.0,0.0,2.98739297947953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.198,2.6158463899148607,2.6158463899148607,3.730987632972609,0.0,0.0,0.0,2.9875601376007768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.216,2.615968855771178,2.615968855771178,3.7312920773433738,0.0,0.0,0.0,2.98774326296191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.234,2.6161020035434213,2.6161020035434213,3.7316230984809295,0.0,0.0,0.0,2.9879423685225905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.252,2.6162458414275025,2.6162458414275025,3.7319807222887764,0.0,0.0,0.0,2.98815746838126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.27,2.6164003782823224,2.6164003782823224,3.732364976769875,0.0,0.0,0.0,2.988388577778173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.288,2.6165656236314163,2.6165656236314163,3.7327758920329446,0.0,0.0,0.0,2.988635713098592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.306,2.6167415876648246,2.6167415876648246,3.7332135002991875,0.0,0.0,0.0,2.988898891876279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.324,2.6169282812409627,2.6169282812409627,3.7336778359096163,0.0,0.0,0.0,2.9891781327971807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.342,2.6171257158887533,2.6171257158887533,3.7341689353328196,0.0,0.0,0.0,2.989473455703442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.36,2.6173339038098513,2.6173339038098513,3.7346868371731667,0.0,0.0,0.0,2.989784881597623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.378,2.6175528578809484,2.6175528578809484,3.735231582179634,0.0,0.0,0.0,2.9901124326471766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.396,2.617782591656248,2.617782591656248,3.7358032132549326,0.0,0.0,0.0,2.9904561321891427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.414,2.6180231193701076,2.6180231193701076,3.7364017754653163,0.0,0.0,0.0,2.990816004735177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.432,2.6182744559397624,2.6182744559397624,3.737027316050931,0.0,0.0,0.0,2.991192075976819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
