energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.2245843526905973,3.3135967800648225,3.324035368817315,0.0,0.0,0.0,3.2874055005242453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8442999999999996
0.0185,3.2245930366566204,3.313605595594453,3.3240443724613593,0.0,0.0,0.0,3.287414334904144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.037,3.2246190892707296,3.313632042835595,3.3240713840839504,0.0,0.0,0.0,3.2874408387300917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0556,3.224662794610095,3.313676409941902,3.3241166980616312,0.0,0.0,0.0,3.2874853008712095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0741,3.224723686326162,3.31373822312807,3.324179830619931,0.0,0.0,0.0,3.2875472466913878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0926,3.2248019574661346,3.313817677841195,3.3242609815473494,0.0,0.0,0.0,3.2876268722848927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1111,3.2248976144884423,3.313914779963637,3.3243601570710704,0.0,0.0,0.0,3.28772418384105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1297,3.225011323654943,3.3140302049809685,3.3244780473739692,0.0,0.0,0.0,3.28783985866996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1482,3.225141871667881,3.314162720307481,3.3246133938629403,0.0,0.0,0.0,3.287972661946101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1667,3.2252898336345357,3.3143129086068472,3.324766792011206,0.0,0.0,0.0,3.2881231780841964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1852,3.225455221786247,3.3144807810156807,3.3249382536091296,0.0,0.0,0.0,3.2882914188036856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2038,3.2256390854795187,3.314667401175673,3.325128865519551,0.0,0.0,0.0,3.2884784507249143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2223,3.2258394628914386,3.3148707762600793,3.3253365928071243,0.0,0.0,0.0,3.288682277319547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2408,3.2260573119880696,3.3150918768704414,3.3255624273948707,0.0,0.0,0.0,3.2889038720844606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2593,3.2262926508316117,3.3153307194433683,3.3258063866865495,0.0,0.0,0.0,3.28914325232051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2779,3.22654691331454,3.3155887570806417,3.3260699556076796,0.0,0.0,0.0,3.289401875334287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2964,3.2268173865344463,3.31586323438078,3.3263503204119402,0.0,0.0,0.0,3.2896769804423887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3149,3.227105412645341,3.3161555110835086,3.3266488707454593,0.0,0.0,0.0,3.2899699314914366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3334,3.227411015626266,3.3164656089932287,3.3269656296999095,0.0,0.0,0.0,3.2902807514398016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3519,3.227734220950285,3.316793551267651,3.327300621801519,0.0,0.0,0.0,3.290609464673152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3705,3.2280769458969085,3.317141280275143,3.327655832148554,0.0,0.0,0.0,3.290958019440202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.389,3.2284355338686703,3.31750508299743,3.3280274688181275,0.0,0.0,0.0,3.2913226952280756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4075,3.228811809811695,3.317886807890858,3.328417421049041,0.0,0.0,0.0,3.2917053462505312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.426,3.2292058052643866,3.318286483597835,3.3288257191838166,0.0,0.0,0.0,3.292106002682013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4446,3.229619827268591,3.318706446666859,3.3292547513903803,0.0,0.0,0.0,3.2925270084419433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4631,3.2300494587574433,3.319142212936037,3.329699937867884,0.0,0.0,0.0,3.292963869853788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4816,3.2304969138331443,3.3195960244818328,3.3301635703339256,0.0,0.0,0.0,3.2934188362163006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5001,3.2309622302524867,3.320067915551553,3.3306456850794253,0.0,0.0,0.0,3.2938919436278216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5187,3.2314481080521644,3.3205606197873703,3.3311490764340492,0.0,0.0,0.0,3.294385934757861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5372,3.2319493638578134,3.321068876564169,3.3316683710881705,0.0,0.0,0.0,3.294895537170051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5557,3.232468604041628,3.3215953243832157,3.3322062662151963,0.0,0.0,0.0,3.2954233982133467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5742,3.233005872764471,3.322140003242001,3.3327628042143544,0.0,0.0,0.0,3.2959695600736088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5928,3.2335642668722446,3.322706047308972,3.3333411892213967,0.0,0.0,0.0,3.296537167800871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6113,3.2341378297842778,3.3232874132176886,3.333935247770327,0.0,0.0,0.0,3.297120163590764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6298,3.234729563835939,3.323887139215553,3.3345480860171985,0.0,0.0,0.0,3.29772159635623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6483,3.235339519812042,3.3245052712219563,3.3351797526585405,0.0,0.0,0.0,3.29834151456418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6669,3.235971195784639,3.3251453478991717,3.3358338658502924,0.0,0.0,0.0,3.298983469844701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6854,3.2366178539742014,3.325800535876513,3.3365034442771893,0.0,0.0,0.0,3.299640611375968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7039,3.2372828969711116,3.3264742770009064,3.3371920071712124,0.0,0.0,0.0,3.3003163937144104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7224,3.2379663824414053,3.3271666233135875,3.337899609746468,0.0,0.0,0.0,3.3010108718338205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7409,3.2386683698138055,3.3278776284188636,3.338626308882454,0.0,0.0,0.0,3.3017241023717077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7595,3.239392865721827,3.328611342880552,3.339376246944261,0.0,0.0,0.0,3.30246015184888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.778,3.2401321431883265,3.3293599343316562,3.3401414206181457,0.0,0.0,0.0,3.3032111660460424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7965,3.2408901119699247,3.330127355237611,3.340925871989983,0.0,0.0,0.0,3.3039811130658396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.815,3.2416668387547296,3.330913665617228,3.3417296647796606,0.0,0.0,0.0,3.304770056383873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8336,3.2424667436694525,3.33172333150717,3.3425573670440123,0.0,0.0,0.0,3.3055824807402114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8521,3.2432812963507134,3.332547710433862,3.343400146311959,0.0,0.0,0.0,3.3064097176988447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8706,3.2441148187807403,3.3333911691717337,3.3442624691313805,0.0,0.0,0.0,3.3072561523612847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8891,3.2449673852596255,3.3342537744256315,3.3451444063622553,0.0,0.0,0.0,3.308121855349171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9077,3.2458438359661383,3.335140413551347,3.3460509579742688,0.0,0.0,0.0,3.3090117358305844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9262,3.246734825305576,3.336041623272068,3.3469724509918204,0.0,0.0,0.0,3.309916299856488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9447,3.2476450939043517,3.3369621903909787,3.347913782511403,0.0,0.0,0.0,3.3108403556022448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9632,3.2485747240764873,3.3379021886066282,3.3488750308734176,0.0,0.0,0.0,3.311783981185511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9818,3.249528983343838,3.33886693307377,3.3498616348603334,0.0,0.0,0.0,3.3127525170926475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0003,3.2504976977325977,3.3398461278677773,3.3508630684197733,0.0,0.0,0.0,3.3137356313400494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0188,3.251486033658143,3.3408449861687886,3.3518846659571437,0.0,0.0,0.0,3.3147385619280247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0373,3.252494081904846,3.3418635890165294,3.3529265136778115,0.0,0.0,0.0,3.3157613948663958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0558,3.2535219354499234,3.342902019342772,3.3539886998163673,0.0,0.0,0.0,3.316804218203021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
