energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.3344750993518284,2.3344750993518284,2.379434426349582,0.0,0.0,0.0,2.349461541684413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0013
0.0206,2.3344776220380012,2.3344776220380012,2.3794370343642766,0.0,0.0,0.0,2.349464092813426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0413,2.334485239218434,2.334485239218434,2.379444909191138,0.0,0.0,0.0,2.349471795876002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0619,2.334497877530698,2.334497877530698,2.3794579749843097,0.0,0.0,0.0,2.349484576681902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0826,2.334515660068745,2.334515660068745,2.379476358997968,0.0,0.0,0.0,2.3495025597118193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1032,2.3345384155658344,2.3345384155658344,2.3794998841677817,0.0,0.0,0.0,2.3495255717664834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1239,2.33456636565481,2.33456636565481,2.3795287796170213,0.0,0.0,0.0,2.3495538369755473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1445,2.3345992411436267,2.3345992411436267,2.379562767041394,0.0,0.0,0.0,2.349587083109549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1652,2.3346373622315566,2.3346373622315566,2.3796021774614506,0.0,0.0,0.0,2.3496256339748545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1858,2.3346803617682514,2.3346803617682514,2.3796466312991233,0.0,0.0,0.0,2.349669118278542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2065,2.3347286585591522,2.3347286585591522,2.3796965615129952,0.0,0.0,0.0,2.3497179595437667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2271,2.334781787450585,2.334781787450585,2.3797514872050316,0.0,0.0,0.0,2.349771687368734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2478,2.3348402659062044,2.3348402659062044,2.379811943325222,0.0,0.0,0.0,2.3498308250458773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2684,2.334903530711972,2.334903530711972,2.3798773475970574,0.0,0.0,0.0,2.3498948030070004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2891,2.3349721980539986,2.3349721980539986,2.3799483370278294,0.0,0.0,0.0,2.349964244378609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3097,2.3350456065888148,2.3350456065888148,2.3800242278917136,0.0,0.0,0.0,2.3500384803564476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3304,2.335124471301609,2.335124471301609,2.3801057593318293,0.0,0.0,0.0,2.3501182339783493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.351,2.3352080326382314,2.3352080326382314,2.3801921460897804,0.0,0.0,0.0,2.350202737122081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3717,2.335297104471902,2.335297104471902,2.380284229535702,0.0,0.0,0.0,2.350292812826502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
