energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.382003961245974,3.507273423719457,3.5177243336612753,0.0,0.0,0.0,3.4690005728755686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4501
0.0197,3.382012195377329,3.5072824713422928,3.517733403235813,0.0,0.0,0.0,3.4690093566518114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0394,3.3820368982310183,3.5073096147356186,3.5177606124845875,0.0,0.0,0.0,3.4690357084837413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0591,3.38207807118589,3.507354855473946,3.5178059629831426,0.0,0.0,0.0,3.469079629880993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0788,3.3821357165403376,3.5074181961817543,3.5178694573577243,0.0,0.0,0.0,3.4691411233599383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0985,3.3822098375126095,3.507499640533966,3.5179510992856566,0.0,0.0,0.0,3.469220192444077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1182,3.3823004382413386,3.5075991932565183,3.518050893496024,0.0,0.0,0.0,3.469316841664627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.138,3.382408109429513,3.5077175036405324,3.5181694908445325,0.0,0.0,0.0,3.4694317013048597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1577,3.3825317694987103,3.507853383493827,3.5183057002448668,0.0,0.0,0.0,3.4695636177458016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1774,3.3826719273076344,3.50800739225311,3.5184600824768126,0.0,0.0,0.0,3.469713134012519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1971,3.382828590689499,3.5081795388636348,3.518632646491426,0.0,0.0,0.0,3.46988025868152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2168,3.3830017684028246,3.508369833327449,3.518823402297293,0.0,0.0,0.0,3.4700650013425225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2365,3.3831914701328794,3.5085782867051174,3.519032360962166,0.0,0.0,0.0,3.470267372600054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2562,3.3833977064932292,3.5088049111176263,3.5192595346148696,0.0,0.0,0.0,3.4704873840752417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2759,3.383620489027521,3.5090497197483965,3.5195049364473037,0.0,0.0,0.0,3.4707250484077403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2956,3.3838598302113567,3.5093127268455007,3.5197685807167036,0.0,0.0,0.0,3.470980379257854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3153,3.384115743454363,3.509593947724206,3.5200504827480605,0.0,0.0,0.0,3.4712533913088763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.335,3.384388243102338,3.5098933987693934,3.5203506589366547,0.0,0.0,0.0,3.4715441002694623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3547,3.384677344439694,3.510211097438527,3.52066912675093,0.0,0.0,0.0,3.4718525228763837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3745,3.3849846579867173,3.5105488142988293,3.5210076610096666,0.0,0.0,0.0,3.4721803777650706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3942,3.385307096810525,3.510903157766213,3.521362861884517,0.0,0.0,0.0,3.4725243721537518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4139,3.385646188928668,3.511275807803272,3.5217364133673787,0.0,0.0,0.0,3.4728861366997728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4336,3.3860019534114394,3.5116667861945885,3.522128337256113,0.0,0.0,0.0,3.4732656922873804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4533,3.386374410281865,3.512076115813968,3.5225386564383854,0.0,0.0,0.0,3.473663060844739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.473,3.386763580519034,3.51250382062839,3.522967394895578,0.0,0.0,0.0,3.4740782653476674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4927,3.387169486061646,3.512949925702164,3.5234145777069172,0.0,0.0,0.0,3.474511329823576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5124,3.3875921498115353,3.513414457201141,3.5238802310536244,0.0,0.0,0.0,3.474962279355433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5321,3.388031595637598,3.5138974423973175,3.5243643822236135,0.0,0.0,0.0,3.4754311400861764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5518,3.3884878483796683,3.5143989096734267,3.52486705961597,0.0,0.0,0.0,3.4759179392230215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5715,3.388960933852741,3.5149188885279563,3.5253882927459643,0.0,0.0,0.0,3.47642270504222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5912,3.3894508788512,3.5154574095801028,3.5259281122500394,0.0,0.0,0.0,3.4769454668937807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.611,3.389960327033582,3.516017379905481,3.5264894321496123,0.0,0.0,0.0,3.477489046362892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6307,3.3904841613498973,3.5165931762571465,3.527066615583841,0.0,0.0,0.0,3.478047984396962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6504,3.391024941650792,3.5171876136185025,3.5276624842582742,0.0,0.0,0.0,3.478625013175856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6701,3.391582698700056,3.517800727152786,3.5282770733548907,0.0,0.0,0.0,3.4792201664025773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6898,3.3921574642651255,3.5184325531726306,3.5289104192053418,0.0,0.0,0.0,3.4798334788810323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
