energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.498294753036889,3.478107161551485,3.5269170923200877,0.0,0.0,0.0,3.501106335636154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.810699999999999
0.0247,3.498308451843256,3.4781206142405194,3.5269310106764267,0.0,0.0,0.0,3.5011200255867343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0494,3.4983495495660963,3.478160973573897,3.5269727670739757,0.0,0.0,0.0,3.5011610967379894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0741,3.498418050117128,3.4782282433508644,3.527042365498659,0.0,0.0,0.0,3.5012295529888835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0987,3.4985135164465984,3.478321994304691,3.527139361915113,0.0,0.0,0.0,3.5013249575554677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1234,3.49863673379905,3.4784429974722477,3.5272645541802192,0.0,0.0,0.0,3.5014480951505056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1481,3.4987873813241275,3.4785909376415103,3.5274176163359505,0.0,0.0,0.0,3.5015986451005294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1728,3.498965473372985,3.478765828750866,3.5275985630059057,0.0,0.0,0.0,3.5017766217099187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1975,3.4991710269175904,3.478967687284001,3.527807411484295,0.0,0.0,0.0,3.5019820418952956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2222,3.4994040615555426,3.479196532274506,3.5280441817408263,0.0,0.0,0.0,3.5022149251902914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
