energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.484580133561076,3.6654227691301897,4.507349579956092,0.0,0.0,0.0,3.885784160882453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8027
0.0156,3.484587605707686,3.665431023209693,4.507366061593752,0.0,0.0,0.0,3.885794896837044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0313,3.484610214459642,3.6654559978892536,4.5074159311202715,0.0,0.0,0.0,3.885827381156389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0469,3.4846476730329594,3.6654973763866185,4.507498557216186,0.0,0.0,0.0,3.8858812022119213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0626,3.4847004637270382,3.665555691493456,4.507615005852644,0.0,0.0,0.0,3.885957053691046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0782,3.4847679169112733,3.665630203533405,4.5077638028593885,0.0,0.0,0.0,3.8860539744346894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0939,3.484850901082904,3.6657218719285303,4.507946867892224,0.0,0.0,0.0,3.886173213634553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1095,3.4849483636196874,3.6658295339467806,4.50816188346347,0.0,0.0,0.0,3.8863132603433126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1252,3.4850615594082126,3.6659545758540326,4.508411623535506,0.0,0.0,0.0,3.8864759195992504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1408,3.485189052606642,3.666095411608309,4.508692926569579,0.0,0.0,0.0,3.88665913026151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1564,3.4853315231666144,3.6662527923898325,4.509007299794607,0.0,0.0,0.0,3.8868638717836848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1721,3.485490036518987,3.6664278952141687,4.509357102436979,0.0,0.0,0.0,3.8870916780567115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1877,3.485662581996251,3.6666184990723054,4.509737906271392,0.0,0.0,0.0,3.8873396624466494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2034,3.4858513812378815,3.6668270582148708,4.5101546241990595,0.0,0.0,0.0,3.8876110212172708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.219,3.4860540394232,3.6670509272819767,4.51060198093791,0.0,0.0,0.0,3.887902315881029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2347,3.4862731659239294,3.6672929888651127,4.511085748059385,0.0,0.0,0.0,3.8882173009494756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2503,3.4865059812462396,3.6675501726736752,4.511599801549387,0.0,0.0,0.0,3.888551985156434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.266,3.486755483071383,3.667825790283561,4.512150773527242,0.0,0.0,0.0,3.8889106822940622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2816,3.4870185066282833,3.6681163457999713,4.512731689299463,0.0,0.0,0.0,3.889288847242573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2973,3.4872984385716643,3.6684255805232007,4.513350043693981,0.0,0.0,0.0,3.8896913542629488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3129,3.4875917281645297,3.6687495721864147,4.513998009116694,0.0,0.0,0.0,3.8901131031558798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3285,3.4879001261057163,3.669090254908021,4.514679469057989,0.0,0.0,0.0,3.8905566166905756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3442,3.488225771959967,3.669449992417258,4.5153991700021905,0.0,0.0,0.0,3.8910249781264716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3598,3.488564535183241,3.6698242219259796,4.516148001606481,0.0,0.0,0.0,3.8915122529052337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3755,3.488920777716412,3.670217762231405,4.51693562540914,0.0,0.0,0.0,3.8920247217856523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3911,3.489289980956299,3.670625621839521,4.517752071406834,0.0,0.0,0.0,3.892555891400885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4068,3.4896768988291327,3.671053052629277,4.518607873664908,0.0,0.0,0.0,3.893112608374439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4224,3.4900766236841436,3.671494633298669,4.519492199322843,0.0,0.0,0.0,3.8936878187685515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4381,3.4904943024933566,3.6719560499903148,4.520416458436488,0.0,0.0,0.0,3.894288936973387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4537,3.4909246374827343,3.6724314503950515,4.521368951806284,0.0,0.0,0.0,3.8949083465613565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4693,3.4913702638635615,3.6729237459042743,4.5223555348560085,0.0,0.0,0.0,3.895549848207948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.485,3.491834210446076,3.6734362827960134,4.5233829414289115,0.0,0.0,0.0,3.896217811557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5006,3.492310592689244,3.6739625604802444,4.524438167053974,0.0,0.0,0.0,3.896903773407821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5163,3.4928055447778132,3.674509355889837,4.525534827459985,0.0,0.0,0.0,3.897616576042545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5319,3.4933127889745035,3.675069734001751,4.526659041871298,0.0,0.0,0.0,3.898347188282518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5476,3.4938388569332455,3.6756509109425375,4.52782531649089,0.0,0.0,0.0,3.8991050281222246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5632,3.494377076334001,3.676245515710419,4.529018889732841,0.0,0.0,0.0,3.8998804939257536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5789,3.4949343777720188,3.6768612052662237,4.5302551631075225,0.0,0.0,0.0,3.9006835820485883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
