energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.697893370663124,3.529902509475672,3.690276497440284,0.0,0.0,0.06311018191779616,3.6393574591930267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5241999999999996
0.0156,3.6979010517946573,3.529909107484103,3.6902835491555153,0.0,0.0,0.06311039213996136,3.639364569478092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0312,3.6979240955537045,3.529928901796531,3.690304704601253,0.0,0.0,0.06311102281193395,3.6393859006504967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0467,3.6979622079013916,3.5299616397603932,3.6903396937313717,0.0,0.0,0.06311206587301324,3.6394211804643852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0623,3.6980158824204414,3.530007745227442,3.690388969509013,0.0,0.0,0.06311353480924836,3.6394708657189656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0779,3.698084925016208,3.5300670512916428,3.6904523535032983,0.0,0.0,0.06311542427714194,3.6395347766037163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0935,3.698169338965679,3.530139560534692,3.690529848411951,0.0,0.0,0.06311773432590119,3.639612915970774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1091,3.698269128275984,3.5302252761134927,3.6906214575336915,0.0,0.0,0.0631204650156816,3.6397052873077222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1246,3.698383510429147,3.530323525544433,3.6907264620605678,0.0,0.0,0.06312359487633055,3.6398111660113823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1402,3.6985139667616367,3.530435580845862,3.6908462213658177,0.0,0.0,0.06312716437472218,3.639931922991105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1558,3.6986598148213496,3.5305608553762156,3.6909801083564093,0.0,0.0,0.06313115475964504,3.6400669261846583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1714,3.6988210615379438,3.5306993545942875,3.6911281287361595,0.0,0.0,0.06313556613496138,3.6402161816227974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.187,3.698997714574967,3.530851084536829,3.6912902888127124,0.0,0.0,0.06314039861547335,3.6403796959748362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2026,3.699189782331096,3.531016051819327,3.6914665954982877,0.0,0.0,0.06314565232691875,3.6405574765495703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2181,3.6993958947275853,3.5311930790589416,3.691655790316082,0.0,0.0,0.06315128968507093,3.640748254700869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2337,3.6996187210964337,3.531384458210362,3.6918603225683744,0.0,0.0,0.06315738357681534,3.6409545006250568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2493,3.699856991731908,3.5315890979740505,3.6920790257449942,0.0,0.0,0.06316389914124593,3.641175038483651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2649,3.700110717980532,3.5318070072859302,3.6923119091820316,0.0,0.0,0.06317083654774393,3.641409878149498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2805,3.7003799119306153,3.5320381956656526,3.6925589828251506,0.0,0.0,0.06317819597661262,3.6416590301404725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.296,3.700662712250149,3.5322810637112703,3.6928185371481734,0.0,0.0,0.06318592639174812,3.641920771036531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
