energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,4.5389849054760525,4.5389849054760525,4.163141999391715,0.0,0.0,0.0,4.413703936781274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3818
0.0155,4.539000317290474,4.539000317290474,4.163155323246009,0.0,0.0,0.0,4.413718652608986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0309,4.539046156757262,4.539046156757262,4.163194952519179,0.0,0.0,0.0,4.413762422011234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0464,4.539123022538552,4.539123022538552,4.163261404891311,0.0,0.0,0.0,4.413835816656139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0618,4.539229928342151,4.539229928342151,4.163353827891559,0.0,0.0,0.0,4.413937894858621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0773,4.539368270356537,4.539368270356537,4.163473428850107,0.0,0.0,0.0,4.414069989854394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0928,4.5395374639451544,4.5395374639451544,4.163619702704736,0.0,0.0,0.0,4.414231543531682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1082,4.53973613180424,4.53973613180424,4.163791459170467,0.0,0.0,0.0,4.414421240926315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1237,4.539966868543473,4.539966868543473,4.163990941927738,0.0,0.0,0.0,4.414641559671561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1391,4.540226713516631,4.540226713516631,4.164215591971072,0.0,0.0,0.0,4.414889673001444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1546,4.540519060321774,4.540519060321774,4.1644683439504755,0.0,0.0,0.0,4.415168821531341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1701,4.54084234268345,4.54084234268345,4.164747844531218,0.0,0.0,0.0,4.415477509966039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1855,4.54119419951275,4.54119419951275,4.165052053222197,0.0,0.0,0.0,4.415813484082566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.201,4.541579226125693,4.541579226125693,4.165384943999637,0.0,0.0,0.0,4.416181132083675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2164,4.541992482203765,4.541992482203765,4.165742246535656,0.0,0.0,0.0,4.416575736981062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2319,4.542439364983069,4.542439364983069,4.166128628422724,0.0,0.0,0.0,4.417002452796288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2474,4.5429173237784575,4.5429173237784575,4.166541885564081,0.0,0.0,0.0,4.417458844373665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2628,4.5434230095016925,4.5434230095016925,4.166979123472034,0.0,0.0,0.0,4.417941714158473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2783,4.543963026621126,4.543963026621126,4.167446054044169,0.0,0.0,0.0,4.418457369095474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2937,4.544530446251506,4.544530446251506,4.167936687620999,0.0,0.0,0.0,4.41899919337467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3092,4.545132679198537,4.545132679198537,4.168457433705622,0.0,0.0,0.0,4.419574264034232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3247,4.545766185837447,4.545766185837447,4.169005233367448,0.0,0.0,0.0,4.420179201680781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3401,4.546426623088667,4.546426623088667,4.169576332731091,0.0,0.0,0.0,4.420809859636141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
