energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,4.8496037642493794,4.661089575457954,5.1702627724188,0.0,0.0,0.10588400813315905,4.893652037375378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8949
0.0158,4.849624294412534,4.661110029615319,5.1702872499029855,0.0,0.0,0.10588487890691553,4.893673857976946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0317,4.84968640734923,4.661171912733052,5.170361305365749,0.0,0.0,0.10588751341591886,4.893739875149343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0475,4.849789327345553,4.661274452362088,5.170484014280729,0.0,0.0,0.10589187884319187,4.89384926466279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0634,4.84993436657184,4.661418956487397,5.170656941678856,0.0,0.0,0.10589803098801708,4.894003421579364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0792,4.850119713670873,4.66160362135694,5.170877928697149,0.0,0.0,0.10590589321596058,4.894200421241654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.095,4.85034616751616,4.661829244074793,5.171147928815245,0.0,0.0,0.10591549966587122,4.894441113468733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1109,4.85061557306501,4.662097664306444,5.171469143023125,0.0,0.0,0.10592692892077124,4.894727460131526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1267,4.850924565802551,4.662405531559228,5.171837561239386,0.0,0.0,0.10594003861315636,4.895055886200388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1426,4.851277085248032,4.66275677300324,5.172257882324934,0.0,0.0,0.10595499631511515,4.895430580192069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1584,4.8516687289327916,4.663147004381405,5.172724858969062,0.0,0.0,0.1059716157092638,4.89584686409442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1743,4.8521044901739145,4.663581203545597,5.173244447105452,0.0,0.0,0.105990109232212,4.896310046941655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1901,4.852578926973713,4.6640539507959815,5.173810160221989,0.0,0.0,0.10601024652638144,4.896814345997228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2059,4.853094692236389,4.664567892543804,5.1744251641048855,0.0,0.0,0.10603214082696255,4.897362582961693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2218,4.853655490631257,4.665126723830829,5.175093879166577,0.0,0.0,0.10605595014179249,4.897958697876221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
