energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,5.098109874899158,5.098109874899158,4.717105336564603,0.0,0.0,0.0,4.971108362120972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7733999999999996
0.0137,5.098136731563191,5.098136731563191,4.7171279445484675,0.0,0.0,0.0,4.971133802558283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0275,5.098218090950587,5.098218090950587,4.717196432562502,0.0,0.0,0.0,4.971210871487892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0412,5.098352785329464,5.098352785329464,4.717309816269912,0.0,0.0,0.0,4.971338462309613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.055,5.098542800224624,5.098542800224624,4.717469764790156,0.0,0.0,0.0,4.971518455079801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0687,5.0987854084139705,5.0987854084139705,4.717673979288776,0.0,0.0,0.0,4.971748265372239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0825,5.0990841862057,5.0990841862057,4.7179254660195316,0.0,0.0,0.0,4.972031279476977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0962,5.099434845385666,5.099434845385666,4.718220610554584,0.0,0.0,0.0,4.972363433775306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1099,5.099839403853694,5.099839403853694,4.718561105586522,0.0,0.0,0.0,4.9727466377646365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1237,5.100301463836089,5.100301463836089,4.718949975921726,0.0,0.0,0.0,4.973184301197968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1374,5.100814393776164,5.100814393776164,4.719381632711757,0.0,0.0,0.0,4.9736701400880285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1512,5.101385755135495,5.101385755135495,4.7198624305709425,0.0,0.0,0.0,4.974211313613978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1649,5.1020073478365155,5.1020073478365155,4.720385459568323,0.0,0.0,0.0,4.974800051747118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1786,5.102683202489155,5.102683202489155,4.720954101054999,0.0,0.0,0.0,4.97544016867777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1924,5.103418944827437,5.103418944827437,4.721573076264284,0.0,0.0,0.0,4.97613698863972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2061,5.104204016070914,5.104204016070914,4.722233489654373,0.0,0.0,0.0,4.9768805072654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2199,5.105049990347818,5.105049990347818,4.72294506391472,0.0,0.0,0.0,4.977681681536786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2336,5.105944727351042,5.105944727351042,4.723697572954764,0.0,0.0,0.0,4.978529009218949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2474,5.106901418486014,5.106901418486014,4.724502095572142,0.0,0.0,0.0,4.979434977514724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2611,5.107906335144314,5.107906335144314,4.7253470702045615,0.0,0.0,0.0,4.980386580164397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2748,5.10896635348645,5.10896635348645,4.726238262086243,0.0,0.0,0.0,4.981390323019714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
