energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.6840843386830984,3.6840843386830984,3.744148640866044,0.0,0.0,0.0,3.70410577274408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7394999999999996
0.0133,3.684093551580762,3.684093551580762,3.7441590574744397,0.0,0.0,0.0,3.7041153868786547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0266,3.6841211908089355,3.6841211908089355,3.7441903079720813,0.0,0.0,0.0,3.704144229863317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0398,3.6841668428404053,3.6841668428404053,3.7442419250003898,0.0,0.0,0.0,3.704191870227067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0531,3.684231202028065,3.684231202028065,3.7443146939723886,0.0,0.0,0.0,3.704259032676173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0664,3.684313995543008,3.684313995543008,3.744408306882683,0.0,0.0,0.0,3.7043454326562326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0797,3.6844152281961793,3.6844152281961793,3.744522769777053,0.0,0.0,0.0,3.704451075389804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.093,3.684534905871112,3.684534905871112,3.7446580900493567,0.0,0.0,0.0,3.7045759672638603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1063,3.6846730355248645,3.6846730355248645,3.744814276442866,0.0,0.0,0.0,3.704720115830865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1195,3.684828378924706,3.684828378924706,3.7449899298346727,0.0,0.0,0.0,3.704882229228028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1328,3.685003298805491,3.685003298805491,3.7451877230103934,0.0,0.0,0.0,3.7050647735404585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1461,3.685196697909841,3.685196697909841,3.7454064165500167,0.0,0.0,0.0,3.7052666041232327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1594,3.685408587494647,3.685408587494647,3.7456460246031242,0.0,0.0,0.0,3.7054877331974727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1727,3.6856389798981226,3.6856389798981226,3.745906562679431,0.0,0.0,0.0,3.7057281741585584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1859,3.685885947926532,3.685885947926532,3.7461858530233028,0.0,0.0,0.0,3.705985916292122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1992,3.6861532479321983,3.6861532479321983,3.7464881454262673,0.0,0.0,0.0,3.7062648804302216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2125,3.6864390941597622,3.6864390941597622,3.746811422419884,0.0,0.0,0.0,3.706563203579803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2258,3.6867435032873863,3.6867435032873863,3.747155704975488,0.0,0.0,0.0,3.7068809038500867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2391,3.6870664930870074,3.6870664930870074,3.747521015441549,0.0,0.0,0.0,3.7072180005385214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2524,3.6874080824273228,3.6874080824273228,3.7479073775479166,0.0,0.0,0.0,3.7075745141341874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2656,3.687765513416401,3.687765513416401,3.7483116742551936,0.0,0.0,0.0,3.7079475670293323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2789,3.688144222611445,3.688144222611445,3.7487400576061813,0.0,0.0,0.0,3.708342834276357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2922,3.6885415943962547,3.6885415943962547,3.749189571906011,0.0,0.0,0.0,3.7087575868995066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3055,3.688957652052523,3.688957652052523,3.7496602464466444,0.0,0.0,0.0,3.7091918501838967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3188,3.6893924199768295,3.6893924199768295,3.750152111926348,0.0,0.0,0.0,3.709645650626669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.332,3.6898424439115036,3.6898424439115036,3.7506612633787726,0.0,0.0,0.0,3.7101153837339265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3453,3.690314568869282,3.690314568869282,3.751195448533307,0.0,0.0,0.0,3.710608195423957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3586,3.6908054838041946,3.6908054838041946,3.7517509249507417,0.0,0.0,0.0,3.711120630853044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3719,3.6913152176078743,3.6913152176078743,3.752327729004541,0.0,0.0,0.0,3.711652721406763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3852,3.691843800309928,3.691843800309928,3.7529258985062373,0.0,0.0,0.0,3.712204499708698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3984,3.6923870762981967,3.6923870762981967,3.7535407342962044,0.0,0.0,0.0,3.7127716289641994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4117,3.6929533091418745,3.6929533091418745,3.7541815925176967,0.0,0.0,0.0,3.7133627369338154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.425,3.6935384875974466,3.6935384875974466,3.7548439380010468,0.0,0.0,0.0,3.71397363773198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4383,3.694142646291793,3.694142646291793,3.7555278143740156,0.0,0.0,0.0,3.714604368985867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4516,3.694765821017859,3.694765821017859,3.756233266741189,0.0,0.0,0.0,3.7152549695923027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4649,3.6954080487410153,3.6954080487410153,3.756960341692921,0.0,0.0,0.0,3.7159254797249837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4781,3.6960643239549023,3.6960643239549023,3.757703376669721,0.0,0.0,0.0,3.716610674859842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4914,3.6967446293026835,3.6967446293026835,3.758473679050249,0.0,0.0,0.0,3.7173209792185387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5047,3.6974441053348737,3.6974441053348737,3.759265752401542,0.0,0.0,0.0,3.718051321023763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.518,3.698162793764534,3.698162793764534,3.760079649337908,0.0,0.0,0.0,3.7188017456223257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5313,3.6989007375118366,3.6989007375118366,3.7609154240072855,0.0,0.0,0.0,3.719572299676986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5445,3.699652215033299,3.699652215033299,3.7617666011912934,0.0,0.0,0.0,3.7203570104192973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5578,3.7004286574210514,3.7004286574210514,3.7626461343970603,0.0,0.0,0.0,3.7211678164130544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5711,3.701224490851903,3.701224490851903,3.7635477166403453,0.0,0.0,0.0,3.721998899448051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5844,3.702039763143667,3.702039763143667,3.7644714083004156,0.0,0.0,0.0,3.7228503115292497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5977,3.702874523361566,3.702874523361566,3.765417271346282,0.0,0.0,0.0,3.723722106023138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.611,3.703728821827286,3.703728821827286,3.7663853693486895,0.0,0.0,0.0,3.724614337667754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6242,3.704596066316667,3.704596066316667,3.767368237521009,0.0,0.0,0.0,3.725520123384781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6375,3.7054894494240984,3.7054894494240984,3.7683808341937994,0.0,0.0,0.0,3.7264532443473324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6508,3.706402528962488,3.706402528962488,3.7694158657536256,0.0,0.0,0.0,3.7274069745595337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6641,3.7073353603624297,3.7073353603624297,3.770473402295743,0.0,0.0,0.0,3.728381374340201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6774,3.7082880003587815,3.7082880003587815,3.7715535155837734,0.0,0.0,0.0,3.7293765054337786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6906,3.7092531206495356,3.7092531206495356,3.7726479029132465,0.0,0.0,0.0,3.7303847147374394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7039,3.7102454032676757,3.7102454032676757,3.7737732205778207,0.0,0.0,0.0,3.7314213423710574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7172,3.711257672155689,3.711257672155689,3.774921339850838,0.0,0.0,0.0,3.732478894720739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7305,3.7122899893616013,3.7122899893616013,3.7760923393042134,0.0,0.0,0.0,3.7335574393424715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7438,3.713342418292266,3.713342418292266,3.7772862992540177,0.0,0.0,0.0,3.734657045279517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7571,3.7144150237250018,3.7144150237250018,3.7785033017769987,0.0,0.0,0.0,3.7357777830756675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7703,3.715499579222249,3.715499579222249,3.7797340199505904,0.0,0.0,0.0,3.7369110594650294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7836,3.7166125845700795,3.7166125845700795,3.7809971861260188,0.0,0.0,0.0,3.738074118422059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7969,3.7177459685736802,3.7177459685736802,3.782283651174264,0.0,0.0,0.0,3.739258529440541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
