energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,4.884340684496135,5.27312612751226,4.888727476179457,0.0,0.0,0.018254985515392064,5.015398096062618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5597
0.0147,4.884356675445455,5.273145744412786,4.888744430325404,0.0,0.0,0.01825513604902631,5.015415616727881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0294,4.884404649429941,5.273204596613791,4.888795294064392,0.0,0.0,0.018255587662321583,5.0154681800360414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0442,4.884485263356975,5.273303490298512,4.888880764166231,0.0,0.0,0.01825634654437269,5.015556505940573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0589,4.8845974335728,5.273441096617479,4.8889996921826055,0.0,0.0,0.01825740250241846,5.015679407457628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0736,4.884741603937666,5.27361796081674,4.889152549386206,0.0,0.0,0.01825875972669676,5.015837371380204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0883,4.884917784702675,5.273834096421621,4.889339347514131,0.0,0.0,0.01826041832891411,5.0160304095461425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.103,4.885125988398184,5.274089519964742,4.889560100913345,0.0,0.0,0.018262378445563766,5.016258536425424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1177,4.885366229836366,5.274384250989583,4.889814826543986,0.0,0.0,0.018264640237925858,5.016521769123312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1325,4.88564048828505,5.274720719321866,4.890105624501834,0.0,0.0,0.01826722236608532,5.016822277369584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1472,4.88594507705311,5.275094403826989,4.890428587418645,0.0,0.0,0.0182700901485532,5.017156022766248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1619,4.886281761882094,5.275507472762204,4.890785589346724,0.0,0.0,0.018273260240980867,5.017524941330341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1766,4.8866505667648825,5.275959957785968,4.891176657762312,0.0,0.0,0.018276732903962117,5.017929060771054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1913,4.887051517997476,5.2764518935963896,4.8916018227806495,0.0,0.0,0.01828050842287595,5.018368411458172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.206,4.887484644184931,5.276983317938999,4.892061117163035,0.0,0.0,0.018284587107885494,5.018843026428988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2208,4.8879532521355005,5.277558291120789,4.89255805027241,0.0,0.0,0.018289000144873845,5.019356531176233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2355,4.8884510427482875,5.278169087359879,4.893085945098626,0.0,0.0,0.018293688260058137,5.019902025068931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2502,4.888981108300042,5.278819504070491,4.893648083814737,0.0,0.0,0.01829868062321045,5.020482898728424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2649,4.889543486715576,5.279509591300652,4.894244509867044,0.0,0.0,0.018303977643774876,5.021099195961091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2796,4.89013821826531,5.280239402195286,4.894875269392433,0.0,0.0,0.018309579755964405,5.021750963284343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2944,4.890769722787358,5.281014364680458,4.8955450538623175,0.0,0.0,0.018315528654389256,5.022443047110045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3091,4.891429511689298,5.2818240660133995,4.896244863988348,0.0,0.0,0.01832174443509373,5.023166147230349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3238,4.892121789032696,5.282673669586755,4.896979162631622,0.0,0.0,0.01832826676215782,5.0239248737503575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3385,4.892846604581255,5.2835632410819295,4.897748006824838,0.0,0.0,0.01833509616897049,5.024719284162674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3532,4.893604010494396,5.284492849344534,4.898551456351925,0.0,0.0,0.018342233213648942,5.025549438730285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3679,4.894394061338778,5.285462566400304,4.899389573762416,0.0,0.0,0.018349678479025033,5.0264154005004995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3827,4.895222523180525,5.286479475334572,4.9002684812437,0.0,0.0,0.01835748638058356,5.027323493252932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3974,4.896078260353445,5.287529913026759,4.901176370189583,0.0,0.0,0.01836555204203045,5.028261514523263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4121,4.896966821155442,5.288620695403924,4.902119131904069,0.0,0.0,0.018373927825355543,5.029235549487812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4268,4.897888269926831,5.2897519074059405,4.9030968401730215,0.0,0.0,0.018382614412247273,5.03024567250193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4415,4.898842673482042,5.290923637242648,4.904109571629001,0.0,0.0,0.01839161250901046,5.031291960784563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4563,4.899836931573573,5.292144362901512,4.905164654289265,0.0,0.0,0.018400987253152565,5.03238198292145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.471,4.90085768050603,5.293397683451115,4.9062479131393,0.0,0.0,0.01841061271876413,5.033501092365482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4857,4.901911600178535,5.294691806971689,4.907366442931686,0.0,0.0,0.018420551965951416,5.03465661669397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5004,4.90299876747633,5.296026834987572,4.9085203318967086,0.0,0.0,0.018430805799334687,5.03584864478687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5151,4.90411926184046,5.297402872403184,4.909709671210695,0.0,0.0,0.018441375047972806,5.03707726848478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5298,4.905273165285987,5.298820027527431,4.910934555018229,0.0,0.0,0.018452260565314977,5.038342582610549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5446,4.906468754849817,5.300288474534687,4.912203777740281,0.0,0.0,0.01846354052586594,5.039653669041595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5593,4.907689961640518,5.301788485407206,4.913500288447847,0.0,0.0,0.01847506340499562,5.040992911831857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.574,4.908944839813841,5.303329960419487,4.9148326448372615,0.0,0.0,0.01848690526534616,5.042369148356863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5887,4.910233481893949,5.304913021784866,4.9162009531839725,0.0,0.0,0.018499067057506785,5.0437824856209295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6034,4.911555983079982,5.306537795257015,4.917605322854424,0.0,0.0,0.018511549756133526,5.045233033730473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6181,4.912912441268244,5.30820441015988,4.919045866333191,0.0,0.0,0.018524354359866064,5.046720905920439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6329,4.914312533231852,5.309924766526522,4.920532870276718,0.0,0.0,0.018537572302418984,5.048256723345031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6476,4.915737442765432,5.311675753643385,4.9220463595277515,0.0,0.0,0.01855102601529176,5.049819851978857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6623,4.917196620137494,5.3134689928636,4.923596379873707,0.0,0.0,0.018564804779494085,5.051420664291601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.677,4.918690174288595,5.315304628135179,4.925183056581483,0.0,0.0,0.01857890968876184,5.053059286335086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6917,4.920218216978434,5.317182807140365,4.92680651818465,0.0,0.0,0.018593341860271666,5.0547358474344835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7065,4.921791611822371,5.3191168950660765,4.928478318335806,0.0,0.0,0.018608203973839776,5.056462275074751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7212,4.923389214883684,5.321080911742769,4.93017600108522,0.0,0.0,0.01862329636041309,5.058215375903891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7359,4.925021659777805,5.3230879390647035,4.931910875214889,0.0,0.0,0.018638719508124353,5.060006824685799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7506,4.9266890698359145,5.32513814004647,4.933683082683067,0.0,0.0,0.018654474626583335,5.0618367641884845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7653,4.928391571349839,5.327231681627028,4.935492768887032,0.0,0.0,0.018670562948038188,5.0637053406213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.78,4.930129293602793,5.329368734710718,4.937340082700768,0.0,0.0,0.018686985727176114,5.065612703671426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7948,4.931914552012566,5.331564459184132,4.9392381300135035,0.0,0.0,0.01870385939709166,5.0675723804034005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8095,4.933723357606144,5.333789363088565,4.941161418378488,0.0,0.0,0.018720957241577473,5.0695580463577326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8242,4.935567791009783,5.33605831669154,4.943122803322964,0.0,0.0,0.01873839344929183,5.071582970341429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8389,4.937447993818607,5.338371507223508,4.945122448048292,0.0,0.0,0.018756169362532903,5.073647316363469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8536,4.9393641107863395,5.340729126104774,4.947160519436444,0.0,0.0,0.018774286344804193,5.075751252109186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8683,4.941316289861559,5.343131368993792,4.949237188094096,0.0,0.0,0.018792745780515242,5.0778949489831495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8831,4.9433183330678405,5.34559523651553,4.95136715232792,0.0,0.0,0.018811678169021854,5.080093573970431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8978,4.945343341106122,5.348087638623368,4.953521808055762,0.0,0.0,0.018830829100630456,5.082317595928417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9125,4.947404875728083,5.350625279083734,4.955715596933514,0.0,0.0,0.01885032677091606,5.084581917248443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9272,4.9495030980665895,5.353208371050256,4.957948704959877,0.0,0.0,0.01887017264460567,5.086886724692241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9419,4.951638172645692,5.355837132177785,4.960221322098167,0.0,0.0,0.018890368205492312,5.089232208973882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
