energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,4.222342958030079,3.5718777560552963,3.8168063989896357,0.0,0.0,0.1458492668934264,3.8703423710250036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1701999999999995
0.0157,4.222357524192759,3.571889767258655,3.8168187974928367,0.0,0.0,0.14585082388304474,3.8703553629814174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0313,4.222400853202775,3.5719254963236535,3.8168556785544503,0.0,0.0,0.14585545542999062,3.870394009360293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.047,4.222473503714053,3.571985404294257,3.816917517833064,0.0,0.0,0.14586322146759614,3.8704588086137908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0627,4.2225752960431695,3.5720693436380087,3.817004162619302,0.0,0.0,0.14587410315349592,3.8705496007668265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0784,4.222706237593267,3.5721773213480206,3.8171156195433094,0.0,0.0,0.14588810178952602,3.8706663928281997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.094,4.22286522584781,3.5723084293797442,3.8172509505614,0.0,0.0,0.14590510015091093,3.8708082019296515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1097,4.223054310697865,3.5724643595452696,3.8174119010583003,0.0,0.0,0.14592531820227028,3.8709768571004783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1254,4.223272579622478,3.5726443610041385,3.8175976949097614,0.0,0.0,0.14594865933463044,3.8711715451787927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1411,4.223520048511958,3.572848448770297,3.817808346349192,0.0,0.0,0.14597512634416046,3.871392281210482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1567,4.22379488055291,3.5730751101153,3.8180422926124624,0.0,0.0,0.14600452398419458,3.871637427760225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1724,4.224100619278586,3.573327269897237,3.818302550967882,0.0,0.0,0.1460372326767009,3.871910146714568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1881,4.2244356183022385,3.573603573003077,3.8185877209593495,0.0,0.0,0.14607307786871354,3.8722089707548886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2037,4.2247974890526345,3.5739020521830738,3.8188957703451276,0.0,0.0,0.14611180559733022,3.8725317705269453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
