energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,6.374023313606282,5.571730278286158,5.857902416706715,0.10440876003419937,-0.12815706087261128,-0.1663639159356406,5.934552002866385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9793999999999996
0.0146,6.374094654817814,5.571766547634405,5.857943837482897,0.10441210719223311,-0.12815950906322235,-0.16636743591420802,5.934601679978371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529.7510164943351,603.5740267729143,0.0,
0.0292,6.374308698545484,5.571875361527478,5.858068106745658,0.10442214985554962,-0.128166854194527,-0.16637799675729378,5.934750722272874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1059.5323938651518,1207.1863672302209,0.0,
0.0437,6.374662575435788,5.572055248354441,5.858273544618392,0.10443875412645684,-0.12817899741709332,-0.16639545664349437,5.934997122802874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1585.745170911643,1806.7401441253137,0.0,
0.0583,6.375161266388632,5.572308718363327,5.858563019171578,0.10446215493881943,-0.12819610900291367,-0.16642006090683273,5.935344334641179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2115.6776684960164,2410.5431969344036,0.0,
0.0729,6.375802960488519,5.572634820383335,5.858935445918703,0.10449226905107717,-0.12821812589755494,-0.16645171960833663,5.935791075596852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2645.731487851566,3014.499365543349,0.0,
0.0875,6.37658783880104,5.573033607062149,5.859390887283998,0.10452910718220663,-0.12824505313865567,-0.16649044092101045,5.936337444382396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3175.937076324615,3618.647087499311,0.0,
0.1021,6.377516122998455,5.573505142821882,5.859929419653447,0.10457268245665202,-0.12827689689120297,-0.16653623484852711,5.9369835618245945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3706.3249246486525,4223.024862520011,0.0,
0.1167,6.378588075545831,5.5740495038933675,5.860551133415752,0.10462301041630102,-0.12831366445125636,-0.16658911323226275,5.93772957095165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4236.925575702704,4827.6712650622485,0.0,
0.1312,6.379795181240306,5.574662302237425,5.861251020715369,0.1046796948751462,-0.12835506183876952,-0.1666486547852393,5.9385695013977005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4764.13281795955,5428.480305835481,0.0,
0.1458,6.381154432457644,5.575352089611612,5.862038852995038,0.10474353798465957,-0.12840166956583918,-0.1667156962184516,5.939515125021432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5295.248973956515,6033.777546689414,0.0,
0.1604,6.382658383773262,5.576115001474924,5.86291022142076,0.10481419489786602,-0.12845322974519863,-0.1667898686226652,5.940561202222983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5826.66975146301,6639.459446910009,0.0,
0.175,6.384307463096094,5.576951161682661,5.863865272860588,0.10489169097407466,-0.12850975424026806,-0.16687119127383218,5.941707965879782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6358.425989745951,7245.565006145525,0.0,
0.1896,6.386102140584247,5.577860706166835,5.8649041685068966,0.1049760540837654,-0.12857125607450304,-0.16695968534053796,5.942955671752659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6890.548624644638,7852.133362725697,0.0,
0.2041,6.38802913778942,5.578836799153021,5.866019106572717,0.10506666602950239,-0.12863727699405872,-0.167054693972672,5.944295014505053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7419.41987779059,8455.043993284873,0.0,
0.2187,6.390115586562443,5.57989306334957,5.867225654493542,0.10516480940713847,-0.12870874290871923,-0.1671575524854796,5.945744768135185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7952.365503396722,9062.65213622646,0.0,
0.2333,6.39234929740897,5.581023191622453,5.868516615611005,0.105269918514458,-0.12878523215861845,-0.1672676572418801,5.947296368214142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8485.770789099932,9670.841183388247,0.0,
0.2479,6.394730913566525,5.582227368927504,5.8698922092744,0.10538203153118278,-0.12886676248576615,-0.16738503713228928,5.9489501639228095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9019.667147720376,10279.650959074657,0.0,
0.2625,6.397261122906048,5.583505792732304,5.871352669678729,0.10550118930191847,-0.12895335283919396,-0.16750972302920525,5.950706528439027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9554.086134844536,10889.121493237117,0.0,
0.277,6.399921795923393,5.584849153082385,5.872887369770504,0.10562654646380987,-0.12904437817976933,-0.16764081849148488,5.952552772925427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10085.393300188902,11495.111302632418,0.0,
0.2916,6.4027504059314495,5.586276200595698,5.87451774055334,0.1057598781006379,-0.129141115302169,-0.1677801664316466,5.954514782360163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10620.94870607006,12106.01911897214,0.0,
