energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,5.018402847402142,5.237980369455067,5.4858716618393935,0.0,0.0,0.03915819402793035,5.2474182928988675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8886000000000003
0.0144,5.018433492851779,5.23801206238216,5.4859104263538905,0.0,0.0,0.03915865878314185,5.247451993862609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0288,5.0185254343671355,5.238107146124968,5.486026727289049,0.0,0.0,0.03916005318742592,5.247553102593717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0432,5.01867868745044,5.238265635570527,5.486220586824681,0.0,0.0,0.03916237765683988,5.247721636615216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0575,5.018891576161487,5.238485795639134,5.486489889169492,0.0,0.0,0.03916560706799723,5.247955753656705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0719,5.0191671139252625,5.238770740023989,5.486838452246424,0.0,0.0,0.03916978755297238,5.248258768731891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0863,5.019504071534544,5.2391191940849,5.487264728864045,0.0,0.0,0.03917490101038031,5.248629331494496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1007,5.019902505906814,5.239531212471439,5.4877688004842655,0.0,0.0,0.03918094896938539,5.249067506287506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1151,5.0203624843964825,5.24000685984937,5.488350763520368,0.0,0.0,0.0391879332403545,5.249573369255407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1295,5.020884084832527,5.2405462109346,5.489010729398188,0.0,0.0,0.039195855916275515,5.2501470083884385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1439,5.021467395562406,5.241149350532313,5.489748824626724,0.0,0.0,0.03920471937439877,5.250788523573814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1583,5.022112515501536,5.241816373581539,5.490565190878636,0.0,0.0,0.03921452627810378,5.251498026653904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1726,5.022814430426626,5.242542087837599,5.491453500417895,0.0,0.0,0.039225201632754315,5.2522700062273735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.187,5.023583076822875,5.243336757810277,5.49242634838592,0.0,0.0,0.03923689796641628,5.253115394339691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2014,5.024413892225104,5.2441956564737024,5.493477982972259,0.0,0.0,0.03924954744910705,5.254029177223688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2158,5.025307018365005,5.245118919785164,5.494608607398523,0.0,0.0,0.03926315390992142,5.255011515182897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2302,5.026262607882858,5.2461066941406065,5.49581844060134,0.0,0.0,0.039277721476867235,5.256062580874935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2446,5.027280824414468,5.247159136452767,5.497107717374197,0.0,0.0,0.03929325458014021,5.257182559413811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.259,5.028361842685075,5.248276414235207,5.4984766885195295,0.0,0.0,0.039309757955651815,5.258371648479938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
