energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,4.938894650369926,4.722724415249376,4.566774845787823,0.0,0.0,0.6983238064613327,4.7427979704690415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6742
0.0148,4.93892639973066,4.722751866867831,4.566800825044128,0.0,0.0,0.6983352835753684,4.742826363880873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0296,4.939021652881955,4.722834225953431,4.566878766786875,0.0,0.0,0.6983697173659098,4.742911548540754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0444,4.939180425033451,4.722971505198928,4.567008682939415,0.0,0.0,0.6984271151796364,4.743053537723932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0592,4.93940274154302,4.72316372576582,4.567190593380552,0.0,0.0,0.6985074892656994,4.743252353563131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.074,4.939688637929173,4.723410917294709,4.567424525954376,0.0,0.0,0.698610856782747,4.743508027059419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0889,4.940040738048575,4.723715347014516,4.567712626007268,0.0,0.0,0.6987381720872299,4.74382290369012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1037,4.9404543719725424,4.72407297555898,4.568051070518415,0.0,0.0,0.6988877534279663,4.744192806016645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1185,4.940931753975246,4.724485715430334,4.568441669020463,0.0,0.0,0.6990604094779325,4.744619712808681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1333,4.9414729605135275,4.724953630430965,4.568884481449851,0.0,0.0,0.6992561771941757,4.745103690798115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1481,4.942078078343785,4.7254767929573855,4.569379575816701,0.0,0.0,0.6994750985210474,4.745644815705957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1629,4.942747204565034,4.72605528403591,4.569927028238769,0.0,0.0,0.6997172204144547,4.746243172279905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1777,4.943480446667274,4.726689193362667,4.570526922979145,0.0,0.0,0.6999825948689365,4.7468988543363615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
