energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.9358439623280184,4.054479668762401,4.131665687797939,0.0,0.0,0.0,4.04066310629612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6216000000000004
0.0139,3.9358533973794954,4.054490163604289,4.131677351935917,0.0,0.0,0.0,4.040673637639901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0278,3.9358817030745503,4.0545216487809554,4.131712345148559,0.0,0.0,0.0,4.040705232334688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0416,3.9359284742222154,4.054573673734282,4.131770166899102,0.0,0.0,0.0,4.0407574382852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0555,3.935994391348885,4.054646995680551,4.131851659148533,0.0,0.0,0.0,4.040831015392656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0694,3.936079187199718,4.054741317691695,4.131956492410253,0.0,0.0,0.0,4.040925665767222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0833,3.9361828666357606,4.054856645621138,4.132084673866027,0.0,0.0,0.0,4.041041395374308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0971,3.936304486335454,4.054991930694917,4.1322350386577025,0.0,0.0,0.0,4.041177151896025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.111,3.9364458158868545,4.055149141976338,4.132409776304355,0.0,0.0,0.0,4.041334911389183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1249,3.936606050051333,4.055327384498844,4.132607893216881,0.0,0.0,0.0,4.041513775922353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1388,3.9367851980244897,4.0555266693370235,4.132829402985356,0.0,0.0,0.0,4.04171375678229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
