energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.1289817687776633,3.2193177285661525,3.477084141911536,0.0,0.0,0.0,3.2751278797517838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1529
0.0143,3.1289874857352324,3.2193234801215693,3.477090588710344,0.0,0.0,0.0,3.2751338515223822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0287,3.129004797059624,3.2193408961970444,3.4771101100203583,0.0,0.0,0.0,3.2751519344256756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.043,3.129033463081129,3.2193697356325925,3.477142435510499,0.0,0.0,0.0,3.2751818780747404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0574,3.129073886011383,3.2194104030055795,3.4771880186291626,0.0,0.0,0.0,3.2752241025487083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0717,3.1291255062082293,3.219462335196088,3.4772462281417074,0.0,0.0,0.0,3.275278023182008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0861,3.129189047952727,3.219526260741284,3.4773178805870897,0.0,0.0,0.0,3.275344396427034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1004,3.129263631531085,3.219601294466669,3.4774019837235617,0.0,0.0,0.0,3.2754223032404384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1148,3.129350303423723,3.2196884889931248,3.477499717316138,0.0,0.0,0.0,3.275512836577662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1291,3.1294478636892773,3.219786636942775,3.4776097279531477,0.0,0.0,0.0,3.2756147428617335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1435,3.129557681195388,3.219897115199225,3.4777335588214724,0.0,0.0,0.0,3.2757294517386946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1578,3.129678235560258,3.220018393978171,3.477869495117479,0.0,0.0,0.0,3.2758553748853028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1722,3.129811218284587,3.2201521746603206,3.4780194437059095,0.0,0.0,0.0,3.2759942788836054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1865,3.1299547882763985,3.220296604797556,3.4781813281096854,0.0,0.0,0.0,3.276144240394546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2009,3.130110959973319,3.2204537105572673,3.4783574191882174,0.0,0.0,0.0,3.276307363239601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2152,3.130277571246342,3.220621316515789,3.4785452784498334,0.0,0.0,0.0,3.2764813887373214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2296,3.130456959832188,3.220801773972406,3.4787475411260016,0.0,0.0,0.0,3.276668758310198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2439,3.1306466421807158,3.2209925841613627,3.4789614063096153,0.0,0.0,0.0,3.2768668775505643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2583,3.1308492797483485,3.221196423914776,3.479189874042387,0.0,0.0,0.0,3.277078525901837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2726,3.1310620671222003,3.2214104707035456,3.4794297805411833,0.0,0.0,0.0,3.2773007727889762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.287,3.1312879899577117,3.2216377273493686,3.479684491157226,0.0,0.0,0.0,3.2775367361547687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3013,3.1315239204799576,3.2218750470836213,3.4799504787104296,0.0,0.0,0.0,3.2777831487580027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3156,3.1317713977896613,3.2221239775525916,3.480229477542546,0.0,0.0,0.0,3.2780416176282663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.33,3.1320322850684694,3.2223863922501725,3.4805235871342974,0.0,0.0,0.0,3.27831408815098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3443,3.1323029704991305,3.2226586576014142,3.4808287347365985,0.0,0.0,0.0,3.2785967876123814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3587,3.1325872521509046,3.2229445931982528,3.4811492009225002,0.0,0.0,0.0,3.2788936820905525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.373,3.132881194343321,3.22324023979451,3.481480547980312,0.0,0.0,0.0,3.279200660706048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3874,3.1331889214868913,3.223549745012841,3.4818274240235993,0.0,0.0,0.0,3.279522030174444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4017,3.1335061733346143,3.2238688232651627,3.482185025644678,0.0,0.0,0.0,3.279853340748152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4161,3.1338374013849815,3.224201950916277,3.482558369275204,0.0,0.0,0.0,3.280199240525487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4304,3.134178020062077,3.224544515309232,3.4829422850166707,0.0,0.0,0.0,3.2805549401293264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4448,3.1345328087596247,3.2249013223198775,3.4833421584590316,0.0,0.0,0.0,3.280925429846178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4591,3.134896855750865,3.225267431438868,3.4837524523562466,0.0,0.0,0.0,3.2813055798486594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4735,3.1352752691928725,3.2256479788798624,3.484178922360018,0.0,0.0,0.0,3.2817007234775843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4878,3.1356628103262145,3.2260376954405494,3.4846156629578218,0.0,0.0,0.0,3.282105389574862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5022,3.136064917000807,3.22644204855753,3.4850688008302426,0.0,0.0,0.0,3.28252525546286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5165,3.1364760224823454,3.2268554394374434,3.485532061216453,0.0,0.0,0.0,3.2829545077120805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5309,3.1369018953048524,3.227283667683709,3.486011942857273,0.0,0.0,0.0,3.283399168615278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5452,3.1373366397560636,3.227720803956058,3.486501800698635,0.0,0.0,0.0,3.283853081470252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5596,3.137786356107856,3.228172981027788,3.487008506637374,0.0,0.0,0.0,3.2843226145910065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5739,3.1382448186054983,3.228633937997427,3.487525044217636,0.0,0.0,0.0,3.284801266940187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5883,3.138718460375291,3.229110141871044,3.4880586596533356,0.0,0.0,0.0,3.285295753966557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6026,3.1392007244936373,3.229594999112795,3.488601963913891,0.0,0.0,0.0,3.2857992291734406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.617,3.139698378121473,3.2300953120846865,3.4891625787571185,0.0,0.0,0.0,3.2863187563210925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6313,3.1402045319772247,3.230604153483914,3.4897327413400308,0.0,0.0,0.0,3.2868471422670567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6456,3.1407226233971013,3.2311249778400857,3.4903163219722866,0.0,0.0,0.0,3.287387974403158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.66,3.141256424800671,3.2316615760080114,3.4909175675509743,0.0,0.0,0.0,3.2879451894532186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6743,3.14179854658509,3.2322065183652016,3.4915281527064006,0.0,0.0,0.0,3.2885110725522306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6887,3.14235659599536,3.2327674503876143,3.492156643199137,0.0,0.0,0.0,3.289093563194037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.703,3.1429228478225686,3.233336605592875,3.4927943364676386,0.0,0.0,0.0,3.289684596627694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7174,3.1435052479844585,3.2339219692251127,3.4934501786345913,0.0,0.0,0.0,3.2902924652813876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7317,3.144095734252981,3.2345154365968596,3.4941150884771353,0.0,0.0,0.0,3.290908753108992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7461,3.144702592693171,3.235125334122456,3.4947983940107212,0.0,0.0,0.0,3.291542106942116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7604,3.145317422578945,3.235743217501943,3.495490633813813,0.0,0.0,0.0,3.2921837579649007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7748,3.1459488516646967,3.2363777557858353,3.4962015193949743,0.0,0.0,0.0,3.292842708948502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7891,3.1465881391810124,3.2370201635912963,3.4969212075281297,0.0,0.0,0.0,3.293509836766813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8035,3.147244256182049,3.2376794541356313,3.4976597948854886,0.0,0.0,0.0,3.2941945017343897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8178,3.1479081202424104,3.2383464994189883,3.4984070547610644,0.0,0.0,0.0,3.294887224807488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
