energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.974526465603234,2.974526465603234,2.882323707163586,0.0,0.0,0.0,2.9437922127900182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.123799999999999
0.0225,2.9745326131467618,2.9745326131467618,2.8823291981992636,0.0,0.0,0.0,2.9437981414975956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0449,2.974550946922059,2.974550946922059,2.8823455740598014,0.0,0.0,0.0,2.94381582263464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0674,2.9745816315674394,2.9745816315674394,2.88237298175265,0.0,0.0,0.0,2.9438454149625097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0899,2.974624614137859,2.974624614137859,2.882411373905584,0.0,0.0,0.0,2.943886867393767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1124,2.9746798968449157,2.9746798968449157,2.8824607523800125,0.0,0.0,0.0,2.9439401820232813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1348,2.974747154929183,2.974747154929183,2.882520826956722,0.0,0.0,0.0,2.9440050456050293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1573,2.9748269923735062,2.9748269923735062,2.8825921369315344,0.0,0.0,0.0,2.944082040559516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1798,2.974919140370763,2.974919140370763,2.8826744419947756,0.0,0.0,0.0,2.944170907578767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2023,2.9750236036657,2.9750236036657,2.8827677461397423,0.0,0.0,0.0,2.9442716511570475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2247,2.975139841332546,2.975139841332546,2.8828715659534847,0.0,0.0,0.0,2.9443837495395258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2472,2.9752688972007264,2.9752688972007264,2.8829868334423594,0.0,0.0,0.0,2.9445082092812704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2697,2.9754102863867637,2.9754102863867637,2.8831131151784803,0.0,0.0,0.0,2.9446445626506694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2922,2.9755640161803445,2.9755640161803445,2.883250417296362,0.0,0.0,0.0,2.9447928165523503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3146,2.9757293290530242,2.9757293290530242,2.8833980628215823,0.0,0.0,0.0,2.94495224030921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3371,2.975907709549328,2.975907709549328,2.8835573772012424,0.0,0.0,0.0,2.9451242654332996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3596,2.976098456321579,2.976098456321579,2.883727733562101,0.0,0.0,0.0,2.9453082154017536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3821,2.9763015792222602,2.9763015792222602,2.8839091401941808,0.0,0.0,0.0,2.945504099546234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4045,2.9765161035090526,2.9765161035090526,2.884100726046321,0.0,0.0,0.0,2.945710977688142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.427,2.9767439556786846,2.9767439556786846,2.8843042110465102,0.0,0.0,0.0,2.94593070746796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4495,2.9769842173567747,2.9769842173567747,2.884518774401682,0.0,0.0,0.0,2.9461624030384104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.472,2.977236900982941,2.977236900982941,2.884744426576759,0.0,0.0,0.0,2.9464060761808804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4944,2.9775008138131254,2.9775008138131254,2.8849801017799255,0.0,0.0,0.0,2.9466605764687253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5169,2.9777783259054087,2.9777783259054087,2.8852279157724863,0.0,0.0,0.0,2.9469281891944346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5394,2.9780683011199813,2.9780683011199813,2.8854868532188505,0.0,0.0,0.0,2.947207818486271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5618,2.9783693826482858,2.9783693826482858,2.885755701800215,0.0,0.0,0.0,2.947498155698929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5843,2.978684274377139,2.978684274377139,2.8860368751194354,0.0,0.0,0.0,2.9478018079579047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6068,2.9790116763120364,2.9790116763120364,2.886329211489742,0.0,0.0,0.0,2.948117521371272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6293,2.979351605497699,2.979351605497699,2.8866327252437096,0.0,0.0,0.0,2.9484453120797025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6517,2.9797024853150123,2.9797024853150123,2.8869460077977838,0.0,0.0,0.0,2.948783659475936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6742,2.9800674669345426,2.9800674669345426,2.8872718717160444,0.0,0.0,0.0,2.9491356018617103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6967,2.980445030875252,2.980445030875252,2.8876089593184657,0.0,0.0,0.0,2.949499673689657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7192,2.9808351968700295,2.9808351968700295,2.887957287192859,0.0,0.0,0.0,2.949875893644306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7416,2.9812361672051946,2.9812361672051946,2.8883152494093745,0.0,0.0,0.0,2.950262527939921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7641,2.9816515429901775,2.9816515429901775,2.8886860597235433,0.0,0.0,0.0,2.950663048567966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7866,2.9820795840246137,2.9820795840246137,2.889068163423298,0.0,0.0,0.0,2.951075777157508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8091,2.9825203127793625,2.9825203127793625,2.8894615793912775,0.0,0.0,0.0,2.951500734983334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8315,2.982971708976187,2.982971708976187,2.8898645031135963,0.0,0.0,0.0,2.951935973688657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.854,2.983437826710758,2.983437826710758,2.8902805520958834,0.0,0.0,0.0,2.9523854018391327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8765,2.9839167036457397,2.9839167036457397,2.890707973400074,0.0,0.0,0.0,2.9528471268971845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.899,2.9844083650469835,2.9844083650469835,2.89114678824881,0.0,0.0,0.0,2.953321172780926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9214,2.9849105664124687,2.9849105664124687,2.8915949921475406,0.0,0.0,0.0,2.9538053749908264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9439,2.9854278182713694,2.9854278182713694,2.892056609245385,0.0,0.0,0.0,2.9543040819293744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9664,2.98595793454352,2.98595793454352,2.892529687026097,0.0,0.0,0.0,2.954815185371045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9888,2.986498501417021,2.986498501417021,2.893012070051782,0.0,0.0,0.0,2.955336357628608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0113,2.9870543741257225,2.9870543741257225,2.893508089443997,0.0,0.0,0.0,2.955872279231814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0338,2.98762319767602,2.98762319767602,2.8940156420747956,0.0,0.0,0.0,2.9564206791422785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0563,2.9882050023846176,2.9882050023846176,2.8945347533883794,0.0,0.0,0.0,2.9569815860525384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0787,2.988797146844453,2.988797146844453,2.8950630651300155,0.0,0.0,0.0,2.9575524529396406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1012,2.9894049497443054,2.9894049497443054,2.89560532095422,0.0,0.0,0.0,2.958138406814277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1237,2.9900258290733537,2.9900258290733537,2.896159215399271,0.0,0.0,0.0,2.9587369578486595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1462,2.9906598181404602,2.9906598181404602,2.8967247764057307,0.0,0.0,0.0,2.9593481375622175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1686,2.991304045741009,2.991304045741009,2.8972994410502606,0.0,0.0,0.0,2.9599691775107595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1911,2.9919642986154873,2.9919642986154873,2.8978883693733644,0.0,0.0,0.0,2.9606056555347795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2136,2.9926377655907626,2.9926377655907626,2.8984890517754924,0.0,0.0,0.0,2.9612548609856724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2361,2.9933244830555523,2.9933244830555523,2.899101518762932,0.0,0.0,0.0,2.9619168282913457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2585,2.9940213475977577,2.9940213475977577,2.8997230007186623,0.0,0.0,0.0,2.962588565304726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.281,2.994734619046105,2.994734619046105,2.9003590782882642,0.0,0.0,0.0,2.963276105460158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.3035,2.995461254714625,2.995461254714625,2.9010070357585764,0.0,0.0,0.0,2.9639765150626087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.326,2.996201294168703,2.996201294168703,2.9016669062779954,0.0,0.0,0.0,2.964689831538467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.3484,2.9969513991655417,2.9969513991655417,2.902335711332797,0.0,0.0,0.0,2.965412836554627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.3709,2.9977183081118373,2.9977183081118373,2.9030194567695027,0.0,0.0,0.0,2.966152024331059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.3934,2.9984987442468007,2.9984987442468007,2.9037152186089417,0.0,0.0,0.0,2.9669042357008473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.4159,2.9992927504191456,2.9992927504191456,2.9044230327257234,0.0,0.0,0.0,2.9676695111880047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.4383,3.0000967507119443,3.0000967507119443,2.9051397093228637,0.0,0.0,0.0,2.9684444035822506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.4608,3.00091796806797,3.00091796806797,2.9058716844323915,0.0,0.0,0.0,2.969235873522777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.4833,3.0017528888717586,3.0017528888717586,2.9066158234749926,0.0,0.0,0.0,2.9700405337395033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.5057,3.0025977570153533,3.0025977570153533,2.9073687765710114,0.0,0.0,0.0,2.970854763533906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.5282,3.003460162907682,3.003460162907682,2.908137305782371,0.0,0.0,0.0,2.971685877199245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.5507,3.0043364133996784,3.0043364133996784,2.908918116994769,0.0,0.0,0.0,2.972530314598042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.5732,3.0052265573730983,3.0052265573730983,2.909711251079906,0.0,0.0,0.0,2.9733881219420346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.5956,3.00612659551846,3.00612659551846,2.91051314223982,0.0,0.0,0.0,2.97425544442558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.6181,3.0070446143831444,3.0070446143831444,2.911330992418287,0.0,0.0,0.0,2.9751400737281917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.6406,3.0079766785530615,3.0079766785530615,2.91216129236227,0.0,0.0,0.0,2.976038216489464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.6631,3.0089228405423185,3.0089228405423185,2.913004085944248,0.0,0.0,0.0,2.976949922342962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.6855,3.009878854350911,3.009878854350911,2.9138555885250623,0.0,0.0,0.0,2.977871099075628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.708,3.01085331000071,3.01085331000071,2.9147234480544393,0.0,0.0,0.0,2.9788100226852863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.7305,3.0118420263944685,3.0118420263944685,2.915603937275909,0.0,0.0,0.0,2.9797626633549488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.753,3.012845059828165,3.012845059828165,2.9164971031798865,0.0,0.0,0.0,2.9807290742787393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.7754,3.0138579138708153,3.0138579138708153,2.9173989391550985,0.0,0.0,0.0,2.98170492229891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.7979,3.0148896898937303,3.0148896898937303,2.918317545725154,0.0,0.0,0.0,2.9826989751708717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.8204,3.0159359574499285,3.0159359574499285,2.9192489745596992,0.0,0.0,0.0,2.9837069631531854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.8429,3.0169967767803225,3.0169967767803225,2.9201932758946656,0.0,0.0,0.0,2.98472894315177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
