energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,4.126159338297133,4.126159338297133,4.126159338297133,0.0,0.0,0.0,4.126159338297133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.415
0.0211,4.126187452238584,4.126187452238584,4.126187452238584,0.0,0.0,0.0,4.126187452238584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0422,4.126271799851763,4.126271799851763,4.126271799851763,0.0,0.0,0.0,4.126271799851763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0633,4.126412398507199,4.126412398507199,4.126412398507199,0.0,0.0,0.0,4.126412398507199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0844,4.126609277169443,4.126609277169443,4.126609277169443,0.0,0.0,0.0,4.126609277169443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1055,4.126862476417466,4.126862476417466,4.126862476417466,0.0,0.0,0.0,4.126862476417466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1266,4.127172048473551,4.127172048473551,4.127172048473551,0.0,0.0,0.0,4.127172048473551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1477,4.127538057240205,4.127538057240205,4.127538057240205,0.0,0.0,0.0,4.127538057240205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1688,4.127960578345493,4.127960578345493,4.127960578345493,0.0,0.0,0.0,4.127960578345493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1899,4.128439699196949,4.128439699196949,4.128439699196949,0.0,0.0,0.0,4.128439699196949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.211,4.128975519043696,4.128975519043696,4.128975519043696,0.0,0.0,0.0,4.128975519043696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2321,4.129568149047421,4.129568149047421,4.129568149047421,0.0,0.0,0.0,4.129568149047421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2532,4.130217712361946,4.130217712361946,4.130217712361946,0.0,0.0,0.0,4.130217712361946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2743,4.1309243442216195,4.1309243442216195,4.1309243442216195,0.0,0.0,0.0,4.1309243442216195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2953,4.1316844367209935,4.1316844367209935,4.1316844367209935,0.0,0.0,0.0,4.1316844367209935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
