energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.241575204414007,3.241575204414007,3.241575204414007,0.0,0.0,0.0,3.241575204414007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0695
0.0216,3.2415838866461097,3.2415838866461097,3.2415838866461097,0.0,0.0,0.0,3.2415838866461097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0432,3.2416099339247024,3.2416099339247024,3.2416099339247024,0.0,0.0,0.0,3.241609933924702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0647,3.241653106986957,3.241653106986957,3.241653106986957,0.0,0.0,0.0,3.241653106986957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0863,3.241713810341007,3.241713810341007,3.241713810341007,0.0,0.0,0.0,3.241713810341007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1079,3.241791887457085,3.241791887457085,3.241791887457085,0.0,0.0,0.0,3.241791887457085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1295,3.2418873435742244,3.2418873435742244,3.2418873435742244,0.0,0.0,0.0,3.241887343574225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1511,3.2420001850991462,3.2420001850991462,3.2420001850991462,0.0,0.0,0.0,3.2420001850991462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1726,3.242129776581939,3.242129776581939,3.242129776581939,0.0,0.0,0.0,3.242129776581939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1942,3.242277332234678,3.242277332234678,3.242277332234678,0.0,0.0,0.0,3.242277332234678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2158,3.242442299487386,3.242442299487386,3.242442299487386,0.0,0.0,0.0,3.242442299487386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2374,3.242624689427913,3.242624689427913,3.242624689427913,0.0,0.0,0.0,3.242624689427913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.259,3.242824514320923,3.242824514320923,3.242824514320923,0.0,0.0,0.0,3.242824514320923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2806,3.2430417876105557,3.2430417876105557,3.2430417876105557,0.0,0.0,0.0,3.2430417876105557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3021,3.243275396920693,3.243275396920693,3.243275396920693,0.0,0.0,0.0,3.243275396920693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3237,3.2435275311092133,3.2435275311092133,3.2435275311092133,0.0,0.0,0.0,3.2435275311092133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3453,3.243797161051377,3.243797161051377,3.243797161051377,0.0,0.0,0.0,3.243797161051377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3669,3.2440843049343226,3.2440843049343226,3.2440843049343226,0.0,0.0,0.0,3.2440843049343226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3885,3.244388982141275,3.244388982141275,3.244388982141275,0.0,0.0,0.0,3.2443889821412752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
