energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.259287209458934,3.2428565660907323,3.2417996137016694,0.0,0.0,0.0,3.247981129750445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2364
0.0218,3.2592955957317034,3.242864696256028,3.2418076278784147,0.0,0.0,0.0,3.247989306622049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0437,3.259320909144216,3.2428892366130566,3.2418318181374555,0.0,0.0,0.0,3.2480139879649097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0655,3.2593629201388636,3.242929964579178,3.2418719650884307,0.0,0.0,0.0,3.2480549499354905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0874,3.2594220168470467,3.242987256372454,3.2419284396107306,0.0,0.0,0.0,3.24811257094341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1092,3.2594976633441934,3.243060592353306,3.242000729516964,0.0,0.0,0.0,3.2481863284048216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1311,3.2595905585151366,3.2431506499525775,3.2420895026261154,0.0,0.0,0.0,3.2482769036979433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1529,3.2596998599329026,3.2432566123453244,3.242193953825848,0.0,0.0,0.0,3.248383475368025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1747,3.2598259602575106,3.243378860043963,3.242314458274538,0.0,0.0,0.0,3.248506426192004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1966,3.259969561827063,3.243518073746948,3.2424516870507345,0.0,0.0,0.0,3.2486464408749156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2184,3.2601293623883207,3.2436729907901305,3.2426043955903965,0.0,0.0,0.0,3.248802249589616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2403,3.2603068383270704,3.2438450422130947,3.24277399464141,0.0,0.0,0.0,3.2489752917271915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2621,3.2605003802094807,3.2440326675235704,3.2429589460747854,0.0,0.0,0.0,3.249163997935946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.284,3.2607117761667266,3.2442375999133275,3.243160958515593,0.0,0.0,0.0,3.2493701115318827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3058,3.2609391091765794,3.2444579806754734,3.243378199884979,0.0,0.0,0.0,3.2495917632456774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3277,3.2611844795826213,3.244695845596161,3.2436126771265257,0.0,0.0,0.0,3.2498310007684363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3495,3.261445662287867,3.2449490372930168,3.243862263752582,0.0,0.0,0.0,3.2500856544444887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3713,3.261723755748203,3.2452186202547377,3.2441280092708826,0.0,0.0,0.0,3.2503567950912746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
