energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.7368886788896676,3.7368886788896676,3.51480760479652,0.0,0.0,0.0,3.6628616541919516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2665999999999995
0.0213,3.7369105457273553,3.7369105457273553,3.5148227304303234,0.0,0.0,0.0,3.6628812739616783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0426,3.7369761495449305,3.7369761495449305,3.51486810891347,0.0,0.0,0.0,3.6629401360011102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0639,3.7370855002574284,3.7370855002574284,3.5149437449916503,0.0,0.0,0.0,3.663038248502169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0853,3.73723943648769,3.73723943648769,3.5150502151621033,0.0,0.0,0.0,3.6631763627124947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1066,3.737436542837662,3.737436542837662,3.515186535506354,0.0,0.0,0.0,3.6633532070605597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1279,3.7376774657043064,3.7376774657043064,3.5153531467603876,0.0,0.0,0.0,3.6635693593896668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1492,3.7379622415485296,3.7379622415485296,3.5155500663649986,0.0,0.0,0.0,3.6638248498206862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1705,3.7382909134928424,3.7382909134928424,3.5157773149420795,0.0,0.0,0.0,3.6641197139759214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1918,3.7386635313402614,3.7386635313402614,3.516034916300763,0.0,0.0,0.0,3.664453992993762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2131,3.7390801515962164,3.7390801515962164,3.51632289744502,0.0,0.0,0.0,3.6648277335458173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2344,3.739540837493645,3.739540837493645,3.5166412885818072,0.0,0.0,0.0,3.665240987856366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2558,3.7400481332844535,3.7400481332844535,3.5169918327067053,0.0,0.0,0.0,3.6656960330918706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2771,3.7405973749778316,3.7405973749778316,3.5173712904995535,0.0,0.0,0.0,3.666188680151739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2984,3.7411909130793046,3.7411909130793046,3.5177812684171474,0.0,0.0,0.0,3.6667210315252525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3197,3.7418288380737654,3.7418288380737654,3.5182218095971827,0.0,0.0,0.0,3.667293161914904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.341,3.7425112473441073,3.7425112473441073,3.518692960437127,0.0,0.0,0.0,3.6679051517084473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3623,3.743238245214649,3.743238245214649,3.5191947706087077,0.0,0.0,0.0,3.6685570870126685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3836,3.7440099429977014,3.7440099429977014,3.519727293073334,0.0,0.0,0.0,3.669249059689579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4049,3.744826459043531,3.744826459043531,3.5202905840986,0.0,0.0,0.0,3.6699811673952207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4263,3.745692069408453,3.745692069408453,3.5208875653719653,0.0,0.0,0.0,3.670757234729624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4476,3.7465988174008973,3.7465988174008973,3.5215127208172468,0.0,0.0,0.0,3.6715701185396803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4689,3.747550782155681,3.747550782155681,3.5221688339634087,0.0,0.0,0.0,3.6724234660915904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4902,3.748548110773808,3.748548110773808,3.5228559745051897,0.0,0.0,0.0,3.6733173986842687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5115,3.74959095769403,3.74959095769403,3.5235742155424323,0.0,0.0,0.0,3.6742520436434973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5328,3.7506794847631975,3.7506794847631975,3.5243236336030046,0.0,0.0,0.0,3.6752275343764667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5541,3.751813861310156,3.751813861310156,3.5251043086671046,0.0,0.0,0.0,3.676244010429139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5755,3.7529999148593305,3.7529999148593305,3.525920210522267,0.0,0.0,0.0,3.6773066800803096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5968,3.7542267460684746,3.7542267460684746,3.5267638012284395,0.0,0.0,0.0,3.6784057644551296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6181,3.755499981350488,3.755499981350488,3.527638910285399,0.0,0.0,0.0,3.6795462909954586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6394,3.7568198208136487,3.7568198208136487,3.5285456317648354,0.0,0.0,0.0,3.680728424464044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6607,3.7581864724753116,3.7581864724753116,3.5294840633298206,0.0,0.0,0.0,3.681952336093481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.682,3.7596001523591136,3.7596001523591136,3.530454306265981,0.0,0.0,0.0,3.6832182036614025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7033,3.7610610845963905,3.7610610845963905,3.531456465514427,0.0,0.0,0.0,3.6845262115690693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7246,3.7625695015318894,3.7625695015318894,3.532490649705616,0.0,0.0,0.0,3.6858765509231315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.746,3.7641330626127885,3.7641330626127885,3.5335620533742738,0.0,0.0,0.0,3.6872760595332834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7673,3.7657374052204524,3.7657374052204524,3.5346607799822065,0.0,0.0,0.0,3.6887118634743707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7886,3.7673899811940683,3.7673899811940683,3.5357918804926,0.0,0.0,0.0,3.690190614293579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8099,3.7690910569189247,3.7690910569189247,3.536955478678383,0.0,0.0,0.0,3.691712530838744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8312,3.7708409075905447,3.7708409075905447,3.5381517021923483,0.0,0.0,0.0,3.693277839124479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8525,3.772639817348318,3.772639817348318,3.5393806826093925,0.0,0.0,0.0,3.6948867724353427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8738,3.7744880794141644,3.7744880794141644,3.5406425554703875,0.0,0.0,0.0,3.6965395714329055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8951,3.776385996236573,3.776385996236573,3.541937460327429,0.0,0.0,0.0,3.6982364842668587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9165,3.7783431429781604,3.7783431429781604,3.54327185438394,0.0,0.0,0.0,3.699986046780087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9378,3.7803415511839797,3.7803415511839797,3.5446334149721888,0.0,0.0,0.0,3.701772172446716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9591,3.7823905799490887,3.7823905799490887,3.5460284514789833,0.0,0.0,0.0,3.7036032037923867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9804,3.7844905702238503,3.7844905702238503,3.5474571200052756,0.0,0.0,0.0,3.705479420150992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
