energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.4384340100087933,3.4384340100087933,4.037376493834442,0.0,0.0,0.0,3.638081504617343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8086
0.0223,3.4384482378752708,3.4384482378752708,4.037396716625617,0.0,0.0,0.0,3.638097730792053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0446,3.4384909229433083,3.4384909229433083,4.037457387248276,0.0,0.0,0.0,3.638146411044964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0669,3.438562069619072,3.438562069619072,4.037558512450567,0.0,0.0,0.0,3.638227550562904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0892,3.4386616852477365,3.4386616852477365,4.037700103481842,0.0,0.0,0.0,3.638341157992438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1115,3.438789780115701,3.438789780115701,4.037882176096405,0.0,0.0,0.0,3.6384872454426023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1337,3.438945601647512,3.438945601647512,4.0381036620276625,0.0,0.0,0.0,3.6386649551075627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.156,3.4391305697531287,3.4391305697531287,4.038366581322951,0.0,0.0,0.0,3.638875906943069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1783,3.439344065548724,3.439344065548724,4.038670056411679,0.0,0.0,0.0,3.6391193958363757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2006,3.439586111113348,3.439586111113348,4.039014121114185,0.0,0.0,0.0,3.6393954477802937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2229,3.439856731492343,3.439856731492343,4.039398813796565,0.0,0.0,0.0,3.6397040922604167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2452,3.4401559547051406,3.4401559547051406,4.039824177383249,0.0,0.0,0.0,3.64004536226451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2675,3.440483811753851,3.440483811753851,4.040290259371264,0.0,0.0,0.0,3.6404192942929883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2898,3.44084033663308,3.44084033663308,4.040797111845917,0.0,0.0,0.0,3.6408259283706923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3121,3.4412255663403255,3.4412255663403255,4.041344791498046,0.0,0.0,0.0,3.641265308059566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3344,3.4416395408877047,3.4416395408877047,4.041933359642831,0.0,0.0,0.0,3.641737480472747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3567,3.442082303314297,3.442082303314297,4.0425628822402135,0.0,0.0,0.0,3.6422424962896023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3789,3.442551720485659,3.442551720485659,4.043230331294513,0.0,0.0,0.0,3.6427779240886102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4012,3.4430520703295464,3.4430520703295464,4.043941794885372,0.0,0.0,0.0,3.6433486451814883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4235,3.443581355230621,3.443581355230621,4.044694438535097,0.0,0.0,0.0,3.64395238299878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4458,3.4441396304665948,3.4441396304665948,4.045488346996791,0.0,0.0,0.0,3.6445892026433264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4681,3.4447269544192824,3.4447269544192824,4.046323609794083,0.0,0.0,0.0,3.6452591728775494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4904,3.445343388593042,3.445343388593042,4.047200321251134,0.0,0.0,0.0,3.64596236614574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5127,3.445988997634194,3.445988997634194,4.048118580524551,0.0,0.0,0.0,3.6466988585976465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.535,3.446663849351589,3.446663849351589,4.0490784916367595,0.0,0.0,0.0,3.6474687301133124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5573,3.447368014738036,3.447368014738036,4.050080163511318,0.0,0.0,0.0,3.6482720643291295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5796,3.4481015679931595,3.4481015679931595,4.051123710009865,0.0,0.0,0.0,3.6491089486653947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6019,3.4488645865468324,3.4488645865468324,4.052209249970886,0.0,0.0,0.0,3.6499794743548506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6241,3.4496535309101555,3.4496535309101555,4.053331756291774,0.0,0.0,0.0,3.650879606037362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6464,3.4504755923354358,3.4504755923354358,4.0545014700652455,0.0,0.0,0.0,3.6518175515787057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6687,3.451327370586268,3.451327370586268,4.055713563480575,0.0,0.0,0.0,3.65278943488437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.691,3.452208956258535,3.452208956258535,4.0569681756849985,0.0,0.0,0.0,3.653795362734023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7133,3.4531204433136793,3.4531204433136793,4.05826545102402,0.0,0.0,0.0,3.654835445883793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7356,3.4540619291094194,3.4540619291094194,4.059605539091654,0.0,0.0,0.0,3.6559097991034974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7579,3.4550335144314954,3.4550335144314954,4.0609885947824065,0.0,0.0,0.0,3.6570185412151326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7802,3.4560353035267104,3.4560353035267104,4.0624147783455005,0.0,0.0,0.0,3.658161795132974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8025,3.4570674041371405,3.4570674041371405,4.063884255441186,0.0,0.0,0.0,3.659339687905156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8248,3.4581299275358472,3.4581299275358472,4.065397197198976,0.0,0.0,0.0,3.66055235075689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.847,3.459218018607094,3.459218018607094,4.066946702405042,0.0,0.0,0.0,3.6617942465397433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8693,3.460341597969587,3.460341597969587,4.06854691212493,0.0,0.0,0.0,3.663076702688034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8916,3.4614959549444313,3.4614959549444313,4.0701911324732745,0.0,0.0,0.0,3.6643943474540457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9139,3.462681215293744,3.462681215293744,4.071879557059374,0.0,0.0,0.0,3.665747329215621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9362,3.4638975085083437,3.4638975085083437,4.0736123852870225,0.0,0.0,0.0,3.667135800767903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9585,3.465144967851484,3.465144967851484,4.075389822426722,0.0,0.0,0.0,3.668559919376563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9808,3.466423730404187,3.466423730404187,4.077212079690289,0.0,0.0,0.0,3.6700198468328877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0031,3.4677339371120457,3.4677339371120457,4.079079374307993,0.0,0.0,0.0,3.6715157495106947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0254,3.469075732833577,3.469075732833577,4.080991929608311,0.0,0.0,0.0,3.6730477984251553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0477,3.47044926639011,3.47044926639011,4.082949975100346,0.0,0.0,0.0,3.6746161692935218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.07,3.4718546906173757,3.4718546906173757,4.0849537465590045,0.0,0.0,0.0,3.6762210425979185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0922,3.4732856445859674,3.4732856445859674,4.0869941914837336,0.0,0.0,0.0,3.677855160218556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1145,3.4747551801884202,3.4747551801884202,4.0890899398916964,0.0,0.0,0.0,3.679533433422846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1368,3.4762570888455304,3.4762570888455304,4.091232158920486,0.0,0.0,0.0,3.681248778870516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1591,3.477791539980715,3.477791539980715,4.093421110286361,0.0,0.0,0.0,3.6830013967492636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1814,3.4793587073150123,3.4793587073150123,4.095657062439941,0.0,0.0,0.0,3.6847914923566556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2037,3.4809587689290415,3.4809587689290415,4.097940290669213,0.0,0.0,0.0,3.6866192761757652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.226,3.482591907327216,3.482591907327216,4.100271077205733,0.0,0.0,0.0,3.6884849639533877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2483,3.4842583095036312,3.4842583095036312,4.102649711334278,0.0,0.0,0.0,3.6903887767805137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2706,3.4859581670102235,3.4859581670102235,4.105076489505917,0.0,0.0,0.0,3.6923309411754546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2929,3.487691676026758,3.487691676026758,4.107551715454542,0.0,0.0,0.0,3.694311689169352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.3152,3.489459037433176,3.489459037433176,4.1100757003172,0.0,0.0,0.0,3.6963312583945176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.3374,3.49125230243824,3.49125230243824,4.112637114333804,0.0,0.0,0.0,3.6983805730700947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.3597,3.4930878362914144,3.4930878362914144,4.115259358389704,0.0,0.0,0.0,3.7004783436575104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.382,3.494957853153641,3.494957853153641,4.117931338932697,0.0,0.0,0.0,3.7026156817466593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.4043,3.496862573450063,3.496862573450063,4.120653397955319,0.0,0.0,0.0,3.704792848285148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.4266,3.4988022227009403,3.4988022227009403,4.123425885512198,0.0,0.0,0.0,3.7070101103046924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.4489,3.500777031608087,3.500777031608087,4.126249159864427,0.0,0.0,0.0,3.709267741026867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
