energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,7.9879950289679575,8.370710449785692,9.94447012249889,0.0,0.0,0.0,8.767725200417514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8640999999999996
0.0154,7.988081885622336,8.37081506039898,9.944746187960188,0.0,0.0,0.0,8.767881044660502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0307,7.988340238559154,8.371126219527653,9.945567498185069,0.0,0.0,0.0,8.768344652090626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0461,7.988773571835301,8.371648115714112,9.946945614686786,0.0,0.0,0.0,8.769122434078733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0614,7.989376434620478,8.372374171343768,9.948864006363896,0.0,0.0,0.0,8.770204870776048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0768,7.9901569579243095,8.373314160630363,9.951349686674671,0.0,0.0,0.0,8.771606935076447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0921,7.991105325486771,8.374456237878382,9.954372853917748,0.0,0.0,0.0,8.773311472427634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1075,7.992234331158135,8.375815779841624,9.957976102335572,0.0,0.0,0.0,8.775342071111778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1228,7.993529780182167,8.377375656563817,9.962116266107401,0.0,0.0,0.0,8.777673900951129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1382,7.995009154509844,8.379156874033573,9.966851725497724,0.0,0.0,0.0,8.780339251347046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1535,7.9966538619357115,8.38113699455982,9.972125814551793,0.0,0.0,0.0,8.783305557015774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1689,7.998486107555521,8.38334269014993,9.978012985067693,0.0,0.0,0.0,8.786613927591048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1842,8.000482876790183,8.385746184494272,9.984442891426248,0.0,0.0,0.0,8.790223984236901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1996,8.00267114329925,8.388379862861294,9.991506428273599,0.0,0.0,0.0,8.794185811478048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2149,8.005023439128342,8.391210571878553,9.999119345967431,0.0,0.0,0.0,8.798451118991442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2303,8.00757156309628,8.394276468266266,10.007389446551727,0.0,0.0,0.0,8.803079159304758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2456,8.01028355667348,8.397538975396932,10.016218305596425,0.0,0.0,0.0,8.808013612555612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.261,8.013196112664932,8.401042091209515,10.025731200016088,0.0,0.0,0.0,8.81332313463018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2763,8.016272738441268,8.40474176165992,10.035815211628114,0.0,0.0,0.0,8.818943237243099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2917,8.019555103222435,8.40868790803647,10.046613775036603,0.0,0.0,0.0,8.824952262098504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.307,8.023002130313948,8.412830936492249,10.057999109209732,0.0,0.0,0.0,8.83127739200531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3224,8.026660563150827,8.417226787139729,10.070133620426203,0.0,0.0,0.0,8.838006990238918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3377,8.030484684485339,8.421820255434064,10.082874243639449,0.0,0.0,0.0,8.84505972785295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3531,8.034526427428542,8.426673410345108,10.096403322068914,0.0,0.0,0.0,8.852534386614188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3684,8.038735371158783,8.431725356918015,10.110562031692163,0.0,0.0,0.0,8.860340919922988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3838,8.043168774559028,8.437044419076848,10.12555379486296,0.0,0.0,0.0,8.86858899616628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3991,8.047771443805894,8.442563922608615,10.141203498659456,0.0,0.0,0.0,8.87717962169132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4145,8.052606124181441,8.448358590427137,10.157736996586475,0.0,0.0,0.0,8.886233903731684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4298,8.057612773382418,8.454355870764186,10.174962301886913,0.0,0.0,0.0,8.89564364867784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4452,8.062859813410128,8.460637049847623,10.193129303613329,0.0,0.0,0.0,8.905542055623693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
