energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.270380871168166,3.270380871168166,3.594758803624069,0.0,0.0,0.0,3.378506848653467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9741999999999997
0.0154,3.2703870388762537,3.2703870388762537,3.5947652169382827,0.0,0.0,0.0,3.3785130982302634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0308,3.270405542406112,3.270405542406112,3.5947844571934664,0.0,0.0,0.0,3.37853184733523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0463,3.270436623557494,3.270436623557494,3.594816775484244,0.0,0.0,0.0,3.378563340866411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0617,3.270479883325476,3.270479883325476,3.594861756373599,0.0,0.0,0.0,3.3786071743415165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0771,3.2705354850224193,3.2705354850224193,3.5949195689085527,0.0,0.0,0.0,3.3786635129844638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0925,3.27060343230706,3.27060343230706,3.594990215907176,0.0,0.0,0.0,3.3787323601737653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.108,3.2706842914322842,3.2706842914322842,3.5950742848844217,0.0,0.0,0.0,3.378814289249663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1234,3.2707770243731358,3.2707770243731358,3.5951706951747755,0.0,0.0,0.0,3.378908247973682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1388,3.2708821188071893,3.2708821188071893,3.5952799521762264,0.0,0.0,0.0,3.3790147299302014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1542,3.2709995816608197,3.2709995816608197,3.595402061220357,0.0,0.0,0.0,3.3791337415139986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1697,3.2711303042518707,3.2711303042518707,3.5955379467094697,0.0,0.0,0.0,3.3792661850710703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1851,3.2712726084534434,3.2712726084534434,3.595685861911764,0.0,0.0,0.0,3.379410359606217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2005,3.27142730684159,3.27142730684159,3.5958466489813263,0.0,0.0,0.0,3.3795670875548356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2159,3.2715944096379816,3.2715944096379816,3.596020315778342,0.0,0.0,0.0,3.379736378351435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2314,3.2717751341927164,3.2717751341927164,3.596208124329604,0.0,0.0,0.0,3.379919464238345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2468,3.271967160524155,3.271967160524155,3.596407660480808,0.0,0.0,0.0,3.3801139938430396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2622,3.272171626995188,3.272171626995188,3.5966201038172034,0.0,0.0,0.0,3.3803211192691927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2776,3.2723885471635175,3.2723885471635175,3.5968454647496864,0.0,0.0,0.0,3.3805408530255736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2931,3.2726194657382814,3.2726194657382814,3.5970853439389643,0.0,0.0,0.0,3.3807747584718424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3085,3.272861418452948,3.272861418452948,3.5973366579299846,0.0,0.0,0.0,3.3810198316119604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3239,3.273115870703906,3.273115870703906,3.597600924685772,0.0,0.0,0.0,3.381277555364528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3393,3.273382839439594,3.273382839439594,3.5978781571975365,0.0,0.0,0.0,3.3815479453589083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3548,3.2736641984198824,3.2736641984198824,3.5981702960443585,0.0,0.0,0.0,3.381832897628041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3702,3.2739563359760884,3.2739563359760884,3.5984735860650034,0.0,0.0,0.0,3.3821287526723935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3856,3.2742610461488044,3.2742610461488044,3.5987898848214175,0.0,0.0,0.0,3.382437325706342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.401,3.274578349345861,3.274578349345861,3.5991192079222336,0.0,0.0,0.0,3.3827586355379853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4164,3.2749082668509466,3.2749082668509466,3.599461571636082,0.0,0.0,0.0,3.3830927017793253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4319,3.275253086549387,3.275253086549387,3.5998193435327708,0.0,0.0,0.0,3.383441838877182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4473,3.2756083823346183,3.2756083823346183,3.6001879248957307,0.0,0.0,0.0,3.3838015631883223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4627,3.275976361748319,3.275976361748319,3.6005695997882103,0.0,0.0,0.0,3.3841741077616163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4781,3.2763570496404557,3.2763570496404557,3.6009643871535797,0.0,0.0,0.0,3.3845594954781633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4936,3.2767530681268484,3.2767530681268484,3.601374998396364,0.0,0.0,0.0,3.3849603782166873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.509,3.277159334106804,3.277159334106804,3.601796155717941,0.0,0.0,0.0,3.385371607977183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5244,3.277578388757611,3.277578388757611,3.602230486550886,0.0,0.0,0.0,3.3857957546887025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5398,3.2780102605987143,3.2780102605987143,3.6026780125685773,0.0,0.0,0.0,3.386232844588669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5553,3.2784579089124657,3.2784579089124657,3.60314179121947,0.0,0.0,0.0,3.386685869681467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5707,3.2789155881544416,3.2789155881544416,3.603615861449471,0.0,0.0,0.0,3.387149012586118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5861,3.2793861759864926,3.2793861759864926,3.604103196203185,0.0,0.0,0.0,3.3876251827253903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6015,3.2798697047176772,3.2798697047176772,3.604603819947553,0.0,0.0,0.0,3.388114409794303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.617,3.2803694741403246,3.2803694741403246,3.605121138681691,0.0,0.0,0.0,3.3886200289874466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6324,3.2808790700567574,3.2808790700567574,3.6056485033559023,0.0,0.0,0.0,3.389135547823139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6478,3.2814017098673203,3.2814017098673203,3.606189234865185,0.0,0.0,0.0,3.389664218199942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6632,3.28193742980876,3.28193742980876,3.606743360542909,0.0,0.0,0.0,3.390206073386809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6787,3.2824898739491055,3.2824898739491055,3.6073146377504934,0.0,0.0,0.0,3.390764795216235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6941,3.2830519524426234,3.2830519524426234,3.6078957241219776,0.0,0.0,0.0,3.3913332096690745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7095,3.2836272261013355,3.2836272261013355,3.6084902912447285,0.0,0.0,0.0,3.3919149144824665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7249,3.2842157352473222,3.2842157352473222,3.6090983694008045,0.0,0.0,0.0,3.3925099466318165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7404,3.284821472429414,3.284821472429414,3.6097240704395035,0.0,0.0,0.0,3.393122338432777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7558,3.285436664344256,3.285436664344256,3.6103593527617632,0.0,0.0,0.0,3.393744227150092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7712,3.286065219324925,3.286065219324925,3.6110082417012546,0.0,0.0,0.0,3.394379560117035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7866,3.2867071819575187,3.2867071819575187,3.6116707705812767,0.0,0.0,0.0,3.395028378165438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.802,3.2873625979229195,3.2873625979229195,3.6123469734998515,0.0,0.0,0.0,3.39569072311523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8175,3.2880359018409457,3.2880359018409457,3.613041410159424,0.0,0.0,0.0,3.3963710712804382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8329,3.2887184540919914,3.2887184540919914,3.613745155950436,0.0,0.0,0.0,3.397060688044806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8483,3.2894146037405982,3.2894146037405982,3.6144626830292053,0.0,0.0,0.0,3.397763963503467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8637,3.2901244009874335,3.2901244009874335,3.6151940286660182,0.0,0.0,0.0,3.398480943546962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8792,3.2908526401041844,3.2908526401041844,3.615944115282503,0.0,0.0,0.0,3.399216465163624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8946,3.2915899772882655,3.2915899772882655,3.61670330345247,0.0,0.0,0.0,3.3999610860096667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.91,3.2923411200666877,3.2923411200666877,3.6174764271408004,0.0,0.0,0.0,3.4007195557580587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9254,3.293106123393468,3.293106123393468,3.6182635269082666,0.0,0.0,0.0,3.4014919245650677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9409,3.2938901469735473,3.2938901469735473,3.6190698921155446,0.0,0.0,0.0,3.4022833953542126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9563,3.294683132111819,3.294683132111819,3.6198851605335123,0.0,0.0,0.0,3.4030838082523833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9717,3.295490150469759,3.295490150469759,3.6207145320764402,0.0,0.0,0.0,3.403898277671986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
