energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,4.101296035149543,4.61025025431641,4.454634747659508,0.0,0.0,0.0,4.388727012375154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3537000000000003
0.0163,4.101309606800081,4.610266496737515,4.4546502866669595,0.0,0.0,0.0,4.388742130068185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0326,4.101350323062661,4.610315225368834,4.4546969049950285,0.0,0.0,0.0,4.3887874844755075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0489,4.1014181878705696,4.610396444314414,4.454774606561257,0.0,0.0,0.0,4.38886307958208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0652,4.101513207780585,4.610510160415697,4.454883397895932,0.0,0.0,0.0,4.388968922030738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0815,4.101635391975206,4.610656383253204,4.45502328814385,0.0,0.0,0.0,4.389105021124087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0978,4.101784752265576,4.610835125149132,4.455194289066655,0.0,0.0,0.0,4.3892713888271215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1141,4.101961303095229,4.61104640117072,4.455396415045788,0.0,0.0,0.0,4.389468039770579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1304,4.102165061544831,4.611290229134081,4.455629683086386,0.0,0.0,0.0,4.389694991255099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1467,4.102396047337544,4.611566629609284,4.455894112821412,0.0,0.0,0.0,4.38995226325608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1631,4.102655951263674,4.611877622261548,4.456191636391109,0.0,0.0,0.0,4.390241736638777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1794,4.1029416289277325,4.6122194407345045,4.456518650499689,0.0,0.0,0.0,4.390559906720642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1957,4.103254609206061,4.612593910196425,4.456876901200818,0.0,0.0,0.0,4.390908473534435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.212,4.103594922480827,4.613001062312028,4.4572664187131945,0.0,0.0,0.0,4.39128746783535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2283,4.103962601817308,4.613440931534962,4.4576872359157305,0.0,0.0,0.0,4.3916969230893335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2446,4.104357682974626,4.613913555117082,4.458139388356042,0.0,0.0,0.0,4.392136875482584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
