energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.4418138107730094,2.4418138107730094,2.4418138107730094,0.0,0.0,0.0,2.4418138107730094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1518
0.0173,2.4418156113711467,2.4418156113711467,2.4418156113711467,0.0,0.0,0.0,2.4418156113711467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0345,2.441820971634729,2.441820971634729,2.441820971634729,0.0,0.0,0.0,2.441820971634729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0518,2.441829954017388,2.441829954017388,2.441829954017388,0.0,0.0,0.0,2.441829954017388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0691,2.4418425379722706,2.4418425379722706,2.4418425379722706,0.0,0.0,0.0,2.4418425379722706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0863,2.44185861988233,2.44185861988233,2.44185861988233,0.0,0.0,0.0,2.44185861988233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1036,2.4418783871214735,2.4418783871214735,2.4418783871214735,0.0,0.0,0.0,2.4418783871214735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1209,2.4419017570610766,2.4419017570610766,2.4419017570610766,0.0,0.0,0.0,2.4419017570610766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1381,2.4419285639763006,2.4419285639763006,2.4419285639763006,0.0,0.0,0.0,2.4419285639763006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1554,2.441959120200743,2.441959120200743,2.441959120200743,0.0,0.0,0.0,2.441959120200743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1727,2.44199328100697,2.44199328100697,2.44199328100697,0.0,0.0,0.0,2.44199328100697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1899,2.442030818528053,2.442030818528053,2.442030818528053,0.0,0.0,0.0,2.442030818528053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2072,2.442072170122837,2.442072170122837,2.442072170122837,0.0,0.0,0.0,2.442072170122837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2244,2.442116858690525,2.442116858690525,2.442116858690525,0.0,0.0,0.0,2.442116858690525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2417,2.442165404909039,2.442165404909039,2.442165404909039,0.0,0.0,0.0,2.442165404909039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.259,2.4422175605202714,2.4422175605202714,2.4422175605202714,0.0,0.0,0.0,2.4422175605202714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2762,2.442272994015945,2.442272994015945,2.442272994015945,0.0,0.0,0.0,2.442272994015945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2935,2.4423323512670065,2.4423323512670065,2.4423323512670065,0.0,0.0,0.0,2.4423323512670065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3108,2.4423953218083865,2.4423953218083865,2.4423953218083865,0.0,0.0,0.0,2.4423953218083865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.328,2.442461511835205,2.442461511835205,2.442461511835205,0.0,0.0,0.0,2.442461511835205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3453,2.4425316925472815,2.4425316925472815,2.4425316925472815,0.0,0.0,0.0,2.4425316925472815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3626,2.442605491208425,2.442605491208425,2.442605491208425,0.0,0.0,0.0,2.442605491208425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3798,2.442682451635376,2.442682451635376,2.442682451635376,0.0,0.0,0.0,2.442682451635376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3971,2.442763470519348,2.442763470519348,2.442763470519348,0.0,0.0,0.0,2.442763470519348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4144,2.442848112775766,2.442848112775766,2.442848112775766,0.0,0.0,0.0,2.442848112775766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4316,2.4429358597482835,2.4429358597482835,2.4429358597482835,0.0,0.0,0.0,2.4429358597482835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4489,2.4430277338085817,2.4430277338085817,2.4430277338085817,0.0,0.0,0.0,2.4430277338085817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4662,2.443123237433512,2.443123237433512,2.443123237433512,0.0,0.0,0.0,2.443123237433512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4834,2.4432217893857517,2.4432217893857517,2.4432217893857517,0.0,0.0,0.0,2.4432217893857517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5007,2.4433245379333512,2.4433245379333512,2.4433245379333512,0.0,0.0,0.0,2.4433245379333512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.518,2.4434309230113245,2.4434309230113245,2.4434309230113245,0.0,0.0,0.0,2.4434309230113245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5352,2.443540300680243,2.443540300680243,2.443540300680243,0.0,0.0,0.0,2.443540300680243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5525,2.4436539453474815,2.4436539453474815,2.4436539453474815,0.0,0.0,0.0,2.4436539453474815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5698,2.443771234289696,2.443771234289696,2.443771234289696,0.0,0.0,0.0,2.443771234289696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.587,2.443891460730996,2.443891460730996,2.443891460730996,0.0,0.0,0.0,2.443891460730996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6043,2.4440160254881134,2.4440160254881134,2.4440160254881134,0.0,0.0,0.0,2.4440160254881134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6215,2.4441434914057383,2.4441434914057383,2.4441434914057383,0.0,0.0,0.0,2.4441434914057383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6388,2.4442753436554874,2.4442753436554874,2.4442753436554874,0.0,0.0,0.0,2.4442753436554874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6561,2.444410854829135,2.444410854829135,2.444410854829135,0.0,0.0,0.0,2.444410854829135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6733,2.444549213128913,2.444549213128913,2.444549213128913,0.0,0.0,0.0,2.444549213128913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6906,2.4446920306466495,2.4446920306466495,2.4446920306466495,0.0,0.0,0.0,2.4446920306466495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7079,2.444838516940228,2.444838516940228,2.444838516940228,0.0,0.0,0.0,2.444838516940228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7251,2.444987796951371,2.444987796951371,2.444987796951371,0.0,0.0,0.0,2.444987796951371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7424,2.4451416100357037,2.4451416100357037,2.4451416100357037,0.0,0.0,0.0,2.4451416100357037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7597,2.44529910255165,2.44529910255165,2.44529910255165,0.0,0.0,0.0,2.44529910255165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7769,2.4454593359963415,2.4454593359963415,2.4454593359963415,0.0,0.0,0.0,2.4454593359963415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7942,2.4456241773608505,2.4456241773608505,2.4456241773608505,0.0,0.0,0.0,2.4456241773608505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8115,2.44579270962486,2.44579270962486,2.44579270962486,0.0,0.0,0.0,2.44579270962486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8287,2.445963930643032,2.445963930643032,2.445963930643032,0.0,0.0,0.0,2.445963930643032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.846,2.446139835441815,2.446139835441815,2.446139835441815,0.0,0.0,0.0,2.446139835441815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8633,2.4463194434291538,2.4463194434291538,2.4463194434291538,0.0,0.0,0.0,2.4463194434291538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8805,2.4465016886052604,2.4465016886052604,2.4465016886052604,0.0,0.0,0.0,2.4465016886052604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8978,2.446688694460617,2.446688694460617,2.446688694460617,0.0,0.0,0.0,2.446688694460617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9151,2.4468794166243972,2.4468794166243972,2.4468794166243972,0.0,0.0,0.0,2.4468794166243972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9323,2.4470727250162994,2.4470727250162994,2.4470727250162994,0.0,0.0,0.0,2.4470727250162994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9496,2.4472708720484357,2.4472708720484357,2.4472708720484357,0.0,0.0,0.0,2.4472708720484357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9669,2.4474727493500916,2.4474727493500916,2.4474727493500916,0.0,0.0,0.0,2.4474727493500916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9841,2.4476771625200144,2.4476771625200144,2.4476771625200144,0.0,0.0,0.0,2.4476771625200144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0014,2.447886493378925,2.447886493378925,2.447886493378925,0.0,0.0,0.0,2.447886493378925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0187,2.448099569320834,2.448099569320834,2.448099569320834,0.0,0.0,0.0,2.448099569320834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0359,2.4483151313685183,2.4483151313685183,2.4483151313685183,0.0,0.0,0.0,2.4483151313685183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0532,2.4485356912680727,2.4485356912680727,2.4485356912680727,0.0,0.0,0.0,2.4485356912680727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0704,2.4487587044604413,2.4487587044604413,2.4487587044604413,0.0,0.0,0.0,2.4487587044604413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0877,2.4489867695265657,2.4489867695265657,2.4489867695265657,0.0,0.0,0.0,2.4489867695265657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
