energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.82913384153053,3.82913384153053,3.6788597480379766,0.0,0.0,0.0,3.779042477033012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.899100000000001
0.0247,3.8291491629441774,3.8291491629441774,3.6788733925138217,0.0,0.0,0.0,3.779057239467392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0494,3.8291951285730694,3.8291951285730694,3.6789143271106513,0.0,0.0,0.0,3.779101528085597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0741,3.8292717425813048,3.8292717425813048,3.678982555336598,0.0,0.0,0.0,3.7791753468330693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0987,3.829378515805385,3.829378515805385,3.679077641239115,0.0,0.0,0.0,3.779278224283295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1234,3.8295163260026266,3.8295163260026266,3.6792003660311705,0.0,0.0,0.0,3.779411006012141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1481,3.8296848136876673,3.8296848136876673,3.6793504089745395,0.0,0.0,0.0,3.779573345449958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1728,3.82988399413705,3.82988399413705,3.6795277829383783,0.0,0.0,0.0,3.7797652570708262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1975,3.8301138854167336,3.8301138854167336,3.679732503141259,0.0,0.0,0.0,3.779986757991575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2222,3.8303745083870226,3.8303745083870226,3.679964587155165,0.0,0.0,0.0,3.7802378679764033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2468,3.8306646449986026,3.8306646449986026,3.6802229491959393,0.0,0.0,0.0,3.780517413064382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2715,3.830986680457651,3.830986680457651,3.680509711981054,0.0,0.0,0.0,3.780827690965452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2962,3.8313395268906993,3.8313395268906993,3.6808239053574434,0.0,0.0,0.0,3.7811676530462806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3209,3.831723216388543,3.831723216388543,3.6811655563527568,0.0,0.0,0.0,3.781537329709947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3456,3.832137783872421,3.832137783872421,3.6815346943768916,0.0,0.0,0.0,3.781936754040578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3703,3.8325832671036446,3.8325832671036446,3.6819313512298244,0.0,0.0,0.0,3.782365961812371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3949,3.833057715320359,3.833057715320359,3.6823537880630335,0.0,0.0,0.0,3.7828230729012504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4196,3.8335650291459786,3.8335650291459786,3.682805475799488,0.0,0.0,0.0,3.7833118446971485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4443,3.834103388957168,3.834103388957168,3.683284792027824,0.0,0.0,0.0,3.7838305233140535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.469,3.834672843975275,3.834672843975275,3.683791778187453,0.0,0.0,0.0,3.7843791553793342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4937,3.835273446321453,3.835273446321453,3.6843264781556884,0.0,0.0,0.0,3.784957790266198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5184,3.835905251031088,3.835905251031088,3.684888938259291,0.0,0.0,0.0,3.7855664801071556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5431,3.836568316069112,3.836568316069112,3.6854792072865576,0.0,0.0,0.0,3.786205279808261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5677,3.8372598278342336,3.8372598278342336,3.6860947777128374,0.0,0.0,0.0,3.786871477793768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5924,3.83798547202503,3.83798547202503,3.686740707740379,0.0,0.0,0.0,3.787570550596813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6171,3.838742567904418,3.838742567904418,3.6874146077256857,0.0,0.0,0.0,3.7882999145115073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6418,3.8395311853126906,3.8395311853126906,3.688116536428941,0.0,0.0,0.0,3.789059635684774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6665,3.840351397108542,3.840351397108542,3.688846555143204,0.0,0.0,0.0,3.7898497831200957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6912,3.8412032791898283,3.8412032791898283,3.689604727710677,0.0,0.0,0.0,3.790670428696778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
