energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.0948640233385034,3.0948640233385034,3.28671051362661,0.0,0.0,0.0,3.1588128534345388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2187
0.0249,3.0948727991273333,3.0948727991273333,3.286720224811357,0.0,0.0,0.0,3.158821941022008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0498,3.0948991271219586,3.0948991271219586,3.286749359027444,0.0,0.0,0.0,3.158849204423787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0747,3.094943009206991,3.094943009206991,3.28679791826052,0.0,0.0,0.0,3.158894645558167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0996,3.095004448523894,3.095004448523894,3.2868659058204504,0.0,0.0,0.0,3.158958267622746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1244,3.095083097068959,3.095083097068959,3.2869529363827237,0.0,0.0,0.0,3.159039710173547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1493,3.0951795947406264,3.0951795947406264,3.287059717744575,0.0,0.0,0.0,3.159139635741943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1742,3.0952936665873985,3.0952936665873985,3.2871859452839365,0.0,0.0,0.0,3.1592577594862448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1991,3.0954253207824394,3.0954253207824394,3.2873316276112443,0.0,0.0,0.0,3.1593940897253745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.224,3.095574566761898,3.095574566761898,3.287496774666895,0.0,0.0,0.0,3.1595486360635636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
